"SNP","Lab_name","best_measure","best_P","best_OR_Beta","catalog_assoc_SNP","catalog_assoc_gene","CHR","MapInfo","gene","rsID","cases","eh_case","el_case","Mutation","MAF_W","mean_Beta","mean_P","median_Beta","median_P","first_Beta","first_P","min_Beta","min_P","max_Beta","max_P","ever_low_OR","ever_low_P","ever_high_OR","ever_high_P","Lab_cat","Lab_full_name","lab_name","cID","SNP","PUBMEDID","Study","Disease_Trait","Initial_Sample_Size","Replication_Sample_Size","Region","Chr","Chr_pos","Reported_Gene","Mapped_gene","Upstream_gene_id","Downstream_gene_id","Strongest_SNP","SNPs","Snp_id_current","Context","Intergenic","Risk_Allele_Frequency","p_value","Pvalue_mog","p_value_text","OR_or_beta_text","OR_or_beta","CI_95","Platform","CNV","tID","Date_Added_to_Catalog","continuous_trait","GWS"
"rs1532085","Chol","mean",0.000228,1.644,"HDL cholesterol || Triglycerides || Lipid metabolism phenotypes (IDL.total, whole) || Red blood cell traits (Hgb) || Lipid metabolism phenotypes (IDL.total, fasting) || Metabolite levels || Cholesterol, total || Lipid metabolism phenotypes (HDL-C.assay, fasting) || Metabolic syndrome (HDL)",NULL,15,58683366,"","rs1532085",14502,11530,8,"",0.37970000,1.644,0.000228,1.644,0.0003005,1.735,0.003813,0.9962,0.03212,2.511,0.0002883,0.98,0.9719,1.02,0.5569,"Lipids","CHOLESTEROL BLOOD","Chol",15660,"rs1532085",19060911,"Loci influencing lipid levels and coronary heart disease risk in 16 European population cohorts.","Cholesterol, total","22,562 individuals","NR","15q21.3",15,58683366,"LIPC","RPL28P4 - LIPC",441726,3990,"rs1532085-G","rs1532085",1532085,"Intergenic",1,0.59,4E-7,6.39794,"",.05,0.05,"[NR] s.d. decrease","Illumina and Affymetrix [up to ~600,000]","N",527,"2009-01-12",1,0
"rs7241918","Chol","min",0.01679,-1.477,"Cholesterol, total || HDL cholesterol",NULL,18,47160953,"","rs7241918",14502,11530,8,"",0.16350000,-1.029,0.08261,-0.8897,0.141,-0.2926,0.7135,-1.477,0.01679,-0.517,0.5743,0.75,0.7064,0.98,0.5381,"Lipids","CHOLESTEROL BLOOD","Chol",369,"rs7241918",24097068,"Discovery and refinement of loci associated with lipid levels.","Cholesterol, total","94,595 Euroepan ancestry individuals","93,982 European ancestry individuals","18q21.1",18,47160953,"LIPG","LIPG - ACAA2",9388,10449,"rs7241918-G","rs7241918",7241918,"Intergenic",1,0.19,4E-18,17.3979,"",.06,0.06,"[NR] unit decrease","NR (Imputed)","N",527,"2014-05-12",1,1
"rs7241918","Chol","min",0.01679,-1.477,"Cholesterol, total || HDL cholesterol",NULL,18,47160953,"","rs7241918",14502,11530,8,"",0.16350000,-1.029,0.08261,-0.8897,0.141,-0.2926,0.7135,-1.477,0.01679,-0.517,0.5743,0.75,0.7064,0.98,0.5381,"Lipids","CHOLESTEROL BLOOD","Chol",12826,"rs7241918",20686565,"Biological, clinical and population relevance of 95 loci for blood lipids.","Cholesterol, total","Up to 100,184 European descent individuals",NULL,"18q21.1",18,47160953,"LIPG","LIPG - ACAA2",9388,10449,"rs7241918-A","rs7241918",7241918,"Intergenic",1,0.17,2E-19,18.699,"",1.94,1.94,"[1.43-2.45] mg/dL decrease","Affymetrix, Illumina & Perlegen [~2.6 million] (imputed)","N",527,"2012-01-25",1,1
"rs1564348","Chol","ever_high",0.05235,1.081,"LDL cholesterol || Cholesterol, total","Metabolic traits (isobutyrylcarnitine + 3 other traits) || Cholesterol, total || LDL cholesterol",6,160578860,"SLC22A1","rs1564348",14502,11530,8,"Silent,Silent",0.16290000,0.3263,0.5802,0.1462,0.808,1.488,0.06052,-0.3045,0.6204,1.473,0.1078,0.74,0.6934,1.08,0.05235,"Lipids","CHOLESTEROL BLOOD","Chol",370,"rs1564348",24097068,"Discovery and refinement of loci associated with lipid levels.","Cholesterol, total","94,595 Euroepan ancestry individuals","93,982 European ancestry individuals","6q25.3",6,160578860,"LPA","SLC22A1",NULL,NULL,"rs1564348-C","rs1564348",1564348,"intron",0,0.18,3E-23,22.5229,"",.05,0.05,"[NR] unit increase","NR (Imputed)","N",527,"2014-05-12",1,1
"rs1564348","Chol","ever_high",0.05235,1.081,"LDL cholesterol || Cholesterol, total","Metabolic traits (isobutyrylcarnitine + 3 other traits) || Cholesterol, total || LDL cholesterol",6,160578860,"SLC22A1","rs1564348",14502,11530,8,"Silent,Silent",0.16290000,0.3263,0.5802,0.1462,0.808,1.488,0.06052,-0.3045,0.6204,1.473,0.1078,0.74,0.6934,1.08,0.05235,"Lipids","CHOLESTEROL BLOOD","Chol",12829,"rs1564348",20686565,"Biological, clinical and population relevance of 95 loci for blood lipids.","Cholesterol, total","Up to 100,184 European descent individuals",NULL,"6q25.3",6,160578860,"LPA","SLC22A1",NULL,NULL,"rs1564348-C","rs1564348",1564348,"intron",0,0.17,1E-16,16,"",2.18,2.18,"[1.65-2.71] mg/dL increase","Affymetrix, Illumina & Perlegen [~2.6 million] (imputed)","N",527,"2012-01-25",1,1
"rs6831256","Chol","first",0.03335,1.236,"Cholesterol, total || Triglycerides || LDL cholesterol",NULL,4,3473139,"DOK7","rs6831256",14502,11530,8,"Silent,Silent",0.43380000,0.6847,0.1131,0.6368,0.1483,1.236,0.03335,0.4049,0.3686,1.131,0.09196,0.60,0.3415,1.00,0.9228,"Lipids","CHOLESTEROL BLOOD","Chol",371,"rs6831256",24097068,"Discovery and refinement of loci associated with lipid levels.","Cholesterol, total","94,595 Euroepan ancestry individuals","93,982 European ancestry individuals","4p16.3",4,3473139,"LRPAP1","DOK7",NULL,NULL,"rs6831256-G","rs6831256",6831256,"intron",0,0.42,1E-10,10,"",.03,0.03,"[NR] unit increase","NR (Imputed)","N",527,"2014-05-12",1,1
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Chol",372,"rs2902940",24097068,"Discovery and refinement of loci associated with lipid levels.","Cholesterol, total","94,595 Euroepan ancestry individuals","93,982 European ancestry individuals","20q12",20,39091487,"MAFB","HSPE1P1 - MAFB",140895,9935,"rs2902940-G","rs2902940",2902940,"Intergenic",1,0.3,9E-10,9.04576,"",.02,0.02,"[NR] unit decrease","NR (Imputed)","N",527,"2014-05-12",1,1
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Chol",12841,"rs2902940",20686565,"Biological, clinical and population relevance of 95 loci for blood lipids.","Cholesterol, total","Up to 100,184 European descent individuals",NULL,"20q12",20,39091487,"MAFB","HSPE1P1 - MAFB",140895,9935,"rs2902940-G","rs2902940",2902940,"Intergenic",1,0.29,6E-11,10.2218,"",1.38,1.38,"[0.97-1.79] mg/dL decrease","Affymetrix, Illumina & Perlegen [~2.6 million] (imputed)","N",527,"2012-01-25",1,1
"rs970548","Chol","first",0.1938,0.8803,"Cholesterol, total || HDL cholesterol","Red blood cell traits (EA, MCV) || Mean corpuscular hemoglobin || Mean corpuscular volume",10,46013277,"MARCH8","rs970548",14502,11530,8,"Silent,Silent,Silent",0.25020000,0.4358,0.3871,0.3179,0.5361,0.8803,0.1938,0.1724,0.7427,0.7361,0.3468,0.69,0.5699,0.96,0.2695,"Lipids","CHOLESTEROL BLOOD","Chol",373,"rs970548",24097068,"Discovery and refinement of loci associated with lipid levels.","Cholesterol, total","94,595 Euroepan ancestry individuals","93,982 European ancestry individuals","10q11.21",10,46013277,"MARCH8, ALOX5","MARCH8",NULL,NULL,"rs970548-C","rs970548",970548,"intron",0,0.26,8E-9,8.09691,"",.03,0.03,"[NR] unit increase","NR (Imputed)","N",527,"2014-05-12",1,1
"rs4722551","Chol","min",0.0648,1.159,"Cholesterol, total || Triglycerides || LDL cholesterol",NULL,7,25991826,"","rs4722551",14502,11530,8,"",0.15730000,0.9644,0.1094,1.008,0.1008,1.296,0.1093,1.159,0.0648,0.5947,0.5249,1.85,0.2903,0.99,0.7758,"Lipids","CHOLESTEROL BLOOD","Chol",374,"rs4722551",24097068,"Discovery and refinement of loci associated with lipid levels.","Cholesterol, total","94,595 Euroepan ancestry individuals","93,982 European ancestry individuals","7p15.2",7,25991826,"MIR148A","LOC100996355",NULL,NULL,"rs4722551-C","rs4722551",4722551,"intron",0,0.2,7E-9,8.1549,"",.03,0.03,"[NR] unit increase","NR (Imputed)","N",527,"2014-05-12",1,1
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Chol",375,"rs2642442",24097068,"Discovery and refinement of loci associated with lipid levels.","Cholesterol, total","94,595 Euroepan ancestry individuals","93,982 European ancestry individuals","1q41",1,220973563,"MOSC1","MARC1",NULL,NULL,"rs2642442-C","rs2642442",2642442,"intron",0,0.33,3E-11,10.5229,"",.04,0.04,"[NR] unit decrease","NR (Imputed)","N",527,"2014-05-12",1,1
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Chol",12833,"rs2642442",20686565,"Biological, clinical and population relevance of 95 loci for blood lipids.","Cholesterol, total","Up to 100,184 European descent individuals",NULL,"1q41",1,220973563,"MOSC1","MARC1",NULL,NULL,"rs2642442-T","rs2642442",2642442,"intron",0,0.32,5E-13,12.301,"",1.38,1.38,"[0.95-1.81] mg/dL decrease","Affymetrix, Illumina & Perlegen [~2.6 million] (imputed)","N",527,"2012-01-25",1,1
"rs3757354","Chol","first",0.2207,-0.8769,"Cholesterol, total || LDL cholesterol",NULL,6,16127407,"","rs3757354",14502,11530,8,"",0.20870000,0.03753,0.9438,0.09926,0.855,-0.8769,0.2207,0.3998,0.4714,-0.308,0.7096,0.53,0.4069,1.04,0.2445,"Lipids","CHOLESTEROL BLOOD","Chol",376,"rs3757354",24097068,"Discovery and refinement of loci associated with lipid levels.","Cholesterol, total","94,595 Euroepan ancestry individuals","93,982 European ancestry individuals","6p22.3",6,16127407,"MYLIP","MYLIP",NULL,NULL,"rs3757354-T","rs3757354",3757354,"nearGene-5",0,0.24,2E-15,14.699,"",.04,0.04,"[NR] unit decrease","NR (Imputed)","N",527,"2014-05-12",1,1
"rs3757354","Chol","first",0.2207,-0.8769,"Cholesterol, total || LDL cholesterol",NULL,6,16127407,"","rs3757354",14502,11530,8,"",0.20870000,0.03753,0.9438,0.09926,0.855,-0.8769,0.2207,0.3998,0.4714,-0.308,0.7096,0.53,0.4069,1.04,0.2445,"Lipids","CHOLESTEROL BLOOD","Chol",12850,"rs3757354",20686565,"Biological, clinical and population relevance of 95 loci for blood lipids.","Cholesterol, total","Up to 100,184 European descent individuals",NULL,"6p22.3",6,16127407,"IDOL","MYLIP",NULL,NULL,"rs3757354-T","rs3757354",3757354,"nearGene-5",0,0.22,3E-9,8.52288,"",1.46,1.46,"[0.99-1.93] mg/dL decrease","Affymetrix, Illumina & Perlegen [~2.6 million] (imputed)","N",527,"2012-01-25",1,1
"rs1495741","Chol","median",0.0617,0.9858,"Bladder cancer || Triglycerides || Cholesterol, total",NULL,8,18272881,"","rs1495741",14502,11530,8,"",0.22680000,0.9193,0.07566,0.9858,0.0617,0.5963,0.3913,0.5428,0.3142,1.284,0.1101,0.78,0.7029,1.00,0.9632,"Lipids","CHOLESTEROL BLOOD","Chol",377,"rs1495741",24097068,"Discovery and refinement of loci associated with lipid levels.","Cholesterol, total","94,595 Euroepan ancestry individuals","93,982 European ancestry individuals","8p22",8,18272881,"NAT2","NAT2 - PSD3",10,23362,"rs1495741-G","rs1495741",1495741,"Intergenic",1,0.26,3E-8,7.52288,"",.03,0.03,"[NR] unit increase","NR (Imputed)","N",527,"2014-05-12",1,1
"rs1495741","Chol","median",0.0617,0.9858,"Bladder cancer || Triglycerides || Cholesterol, total",NULL,8,18272881,"","rs1495741",14502,11530,8,"",0.22680000,0.9193,0.07566,0.9858,0.0617,0.5963,0.3913,0.5428,0.3142,1.284,0.1101,0.78,0.7029,1.00,0.9632,"Lipids","CHOLESTEROL BLOOD","Chol",12849,"rs1495741",20686565,"Biological, clinical and population relevance of 95 loci for blood lipids.","Cholesterol, total","Up to 100,184 European descent individuals",NULL,"8p22",8,18272881,"NAT2","NAT2 - PSD3",10,23362,"rs1495741-G","rs1495741",1495741,"Intergenic",1,0.32,2E-9,8.69897,"",1.07,1.07,"[0.66-1.48] mg/dL increase","Affymetrix, Illumina & Perlegen [~2.6 million] (imputed)","N",527,"2012-01-25",1,1
"rs2072183","Chol","ever_high",0.1051,0.9456,"LDL cholesterol || Cholesterol, total","Cholesterol, total || LDL cholesterol",7,44579180,"NPC1L1","rs2072183",14502,11530,8,"Synonymous_L272L,Synonymous_L272L",0.22380000,0.213,0.6807,0.1089,0.8364,0.2553,0.7136,0.1414,0.7932,0.989,0.2184,1.16,0.8005,0.95,0.1051,"Lipids","CHOLESTEROL BLOOD","Chol",378,"rs2072183",24097068,"Discovery and refinement of loci associated with lipid levels.","Cholesterol, total","94,595 Euroepan ancestry individuals","93,982 European ancestry individuals","7p13",7,44579180,"NPC1L1","NPC1L1",NULL,NULL,"rs2072183-C","rs2072183",2072183,"cds-synon",0,0.29,4E-15,14.3979,"",.04,0.04,"[NR] unit increase","NR (Imputed)","N",527,"2014-05-12",1,1
"rs2072183","Chol","ever_high",0.1051,0.9456,"LDL cholesterol || Cholesterol, total","Cholesterol, total || LDL cholesterol",7,44579180,"NPC1L1","rs2072183",14502,11530,8,"Synonymous_L272L,Synonymous_L272L",0.22380000,0.213,0.6807,0.1089,0.8364,0.2553,0.7136,0.1414,0.7932,0.989,0.2184,1.16,0.8005,0.95,0.1051,"Lipids","CHOLESTEROL BLOOD","Chol",12838,"rs2072183",20686565,"Biological, clinical and population relevance of 95 loci for blood lipids.","Cholesterol, total","Up to 100,184 European descent individuals",NULL,"7p13",7,44579180,"NPC1L1","NPC1L1",NULL,NULL,"rs2072183-C","rs2072183",2072183,"cds-synon",0,0.25,3E-11,10.5229,"",2.01,2.01,"[1.44-2.58] mg/dL increase","Affymetrix, Illumina & Perlegen [~2.6 million] (imputed)","N",527,"2012-01-25",1,1
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Chol",379,"rs7206971",24097068,"Discovery and refinement of loci associated with lipid levels.","Cholesterol, total","94,595 Euroepan ancestry individuals","93,982 European ancestry individuals","17q21.32",17,45425115,"OSBPL7","EFCAB13",NULL,NULL,"rs7206971-A","rs7206971",7206971,"intron",0,0.49,1E-7,7,"",.03,0.03,"[NR] unit increase","NR (Imputed)","N",527,"2014-05-12",1,0
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Chol",12853,"rs7206971",20686565,"Biological, clinical and population relevance of 95 loci for blood lipids.","Cholesterol, total","Up to 100,184 European descent individuals",NULL,"17q21.32",17,45425115,"OSBPL7","EFCAB13",NULL,NULL,"rs7206971-A","rs7206971",7206971,"intron",0,0.49,1E-8,8,"",1.01,1.01,"[0.62-1.4] mg/dL increase","Affymetrix, Illumina & Perlegen [~2.6 million] (imputed)","N",527,"2012-01-25",1,1
"rs2479409","Chol","mean",0.02114,1.043,"Cholesterol, total || LDL cholesterol",NULL,1,55504650,"","rs2479409",14502,11530,8,"",0.35470000,1.043,0.02114,0.9562,0.03813,1.26,0.03827,0.7803,0.09785,1.561,0.02624,1.09,0.8649,0.97,0.3415,"Lipids","CHOLESTEROL BLOOD","Chol",380,"rs2479409",24097068,"Discovery and refinement of loci associated with lipid levels.","Cholesterol, total","94,595 Euroepan ancestry individuals","93,982 European ancestry individuals","1p32.3",1,55504650,"PCSK9","PCSK9",NULL,NULL,"rs2479409-G","rs2479409",2479409,"nearGene-5",0,0.32,2E-39,38.699,"",.05,0.05,"[NR] unit increase","NR (Imputed)","N",527,"2014-05-12",1,1
"rs2479409","Chol","mean",0.02114,1.043,"Cholesterol, total || LDL cholesterol",NULL,1,55504650,"","rs2479409",14502,11530,8,"",0.35470000,1.043,0.02114,0.9562,0.03813,1.26,0.03827,0.7803,0.09785,1.561,0.02624,1.09,0.8649,0.97,0.3415,"Lipids","CHOLESTEROL BLOOD","Chol",12821,"rs2479409",20686565,"Biological, clinical and population relevance of 95 loci for blood lipids.","Cholesterol, total","Up to 100,184 European descent individuals",NULL,"1p32.3",1,55504650,"PCSK9","PCSK9",NULL,NULL,"rs2479409-G","rs2479409",2479409,"nearGene-5",0,0.3,4E-24,23.3979,"",1.96,1.96,"[1.49-2.43] mg/dL increase","Affymetrix, Illumina & Perlegen [~2.6 million] (imputed)","N",527,"2012-01-25",1,1
"rs4883201","Chol","first",0.03226,-2.058,"Cholesterol, total",NULL,12,9082581,"PHC1","rs4883201",14502,11530,8,"Silent",0.10240000,-0.4903,0.4927,-0.2475,0.7342,-2.058,0.03226,-0.9384,0.2078,-0.2151,0.8464,1.26,0.7605,1.02,0.6641,"Lipids","CHOLESTEROL BLOOD","Chol",381,"rs4883201",24097068,"Discovery and refinement of loci associated with lipid levels.","Cholesterol, total","94,595 Euroepan ancestry individuals","93,982 European ancestry individuals","12p13.31",12,9082581,"PHC1, A2ML1","PHC1",NULL,NULL,"rs4883201-G","rs4883201",4883201,"intron",0,0.12,2E-9,8.69897,"",.04,0.04,"[NR] unit decrease","NR (Imputed)","N",527,"2014-05-12",1,1
"rs11603023","Chol","first",0.1748,0.7977,"Cholesterol, total","Glioma",11,118486067,"PHLDB1","rs11603023",14502,11530,8,"Silent,Silent,Silent",0.44140000,0.3337,0.4454,0.2336,0.6004,0.7977,0.1748,-0.05234,0.9086,0.8192,0.2276,0.76,0.5903,1.04,0.2054,"Lipids","CHOLESTEROL BLOOD","Chol",382,"rs11603023",24097068,"Discovery and refinement of loci associated with lipid levels.","Cholesterol, total","94,595 Euroepan ancestry individuals","93,982 European ancestry individuals","11q23.3",11,118486067,"PHLDB1","PHLDB1",NULL,NULL,"rs11603023-T","rs11603023",11603023,"intron",0,0.42,1E-8,8,"",.02,0.02,"[NR] unit increase","NR (Imputed)","N",527,"2014-05-12",1,1
"rs11136341","Chol","median",0.04214,0.9513,"LDL cholesterol || Cholesterol, total","Platelet counts || Cholesterol, total || LDL cholesterol",8,145043543,"PLEC","rs11136341",14502,11530,8,"Silent,Silent",0.38700000,0.8243,0.07236,0.9513,0.04214,1.167,0.063,0.9623,0.04388,0.5054,0.4863,0.43,0.1928,1.01,0.85,"Lipids","CHOLESTEROL BLOOD","Chol",383,"rs11136341",24097068,"Discovery and refinement of loci associated with lipid levels.","Cholesterol, total","94,595 Euroepan ancestry individuals","93,982 European ancestry individuals","8q24.3",8,145043543,"PLEC1","PLEC",NULL,NULL,"rs11136341-G","rs11136341",11136341,"intron",0,0.40,6E-9,8.22185,"",.04,0.04,"[NR] unit increase","NR (Imputed)","N",527,"2014-05-12",1,1
"rs11136341","Chol","median",0.04214,0.9513,"LDL cholesterol || Cholesterol, total","Platelet counts || Cholesterol, total || LDL cholesterol",8,145043543,"PLEC","rs11136341",14502,11530,8,"Silent,Silent",0.38700000,0.8243,0.07236,0.9513,0.04214,1.167,0.063,0.9623,0.04388,0.5054,0.4863,0.43,0.1928,1.01,0.85,"Lipids","CHOLESTEROL BLOOD","Chol",12848,"rs11136341",20686565,"Biological, clinical and population relevance of 95 loci for blood lipids.","Cholesterol, total","Up to 100,184 European descent individuals",NULL,"8q24.3",8,145043543,"PLEC1","PLEC",NULL,NULL,"rs11136341-G","rs11136341",11136341,"intron",0,0.4,9E-10,9.04576,"",1.34,1.34,"[0.87-1.81] mg/dL increase","Affymetrix, Illumina & Perlegen [~2.6 million] (imputed)","N",527,"2012-01-25",1,1
"rs4253772","Chol","max",0.03494,2.235,"Cholesterol, total",NULL,22,46627603,"PPARA","rs4253772",14502,11530,8,"Silent,Silent",0.11330000,0.7303,0.2845,0.7458,0.2837,1.448,0.1145,0.02557,0.9713,2.235,0.03494,1.11,0.887,1.04,0.4462,"Lipids","CHOLESTEROL BLOOD","Chol",384,"rs4253772",24097068,"Discovery and refinement of loci associated with lipid levels.","Cholesterol, total","94,595 Euroepan ancestry individuals","93,982 European ancestry individuals","22q13.31",22,46627603,"PPARA","PPARA",NULL,NULL,"rs4253772-T","rs4253772",4253772,"intron",0,0.11,1E-8,8,"",.03,0.03,"[NR] unit increase","NR (Imputed)","N",527,"2014-05-12",1,1
"rs9987289","Chol","mean",0.0001409,-2.871,"LDL cholesterol || HDL Cholesterol - Triglycerides (HDLC-TG) || C-reactive protein || HDL cholesterol || Metabolic syndrome (bivariate traits) (HDLC-WC) || Cholesterol, total","HDL cholesterol (AA) || HDL cholesterol || LDL cholesterol || Fasting glucose-related traits (interaction with BMI) || Fasting insulin-related traits (interaction with BMI) || Glycemic traits (pregnancy) (FCP) || Glycemic traits (pregnancy) (FPG) || Metabolite levels || Coronary heart disease (HDL-C) || C-reactive protein || Cholesterol, total || HDL Cholesterol - Triglycerides (HDLC-TG) || Metabolic syndrome (bivariate traits) (HDLC-WC)",8,9183358,"LOC157273","rs9987289",14502,11530,8,"Silent",0.08944000,-2.871,0.0001409,-2.806,0.0002646,-1.814,0.07369,-2.492,0.001527,-3.188,0.006504,0.00,0.9766,0.94,0.231,"Lipids","CHOLESTEROL BLOOD","Chol",385,"rs9987289",24097068,"Discovery and refinement of loci associated with lipid levels.","Cholesterol, total","94,595 Euroepan ancestry individuals","93,982 European ancestry individuals","8p23.1",8,9183358,"PPP1R3B","LOC157273",NULL,NULL,"rs9987289-A","rs9987289",9987289,"intron",0,0.10,2E-36,35.699,"",.08,0.08,"[NR] unit decrease","NR (Imputed)","N",527,"2014-05-12",1,1
"rs9987289","Chol","mean",0.0001409,-2.871,"LDL cholesterol || HDL Cholesterol - Triglycerides (HDLC-TG) || C-reactive protein || HDL cholesterol || Metabolic syndrome (bivariate traits) (HDLC-WC) || Cholesterol, total","HDL cholesterol (AA) || HDL cholesterol || LDL cholesterol || Fasting glucose-related traits (interaction with BMI) || Fasting insulin-related traits (interaction with BMI) || Glycemic traits (pregnancy) (FCP) || Glycemic traits (pregnancy) (FPG) || Metabolite levels || Coronary heart disease (HDL-C) || C-reactive protein || Cholesterol, total || HDL Cholesterol - Triglycerides (HDLC-TG) || Metabolic syndrome (bivariate traits) (HDLC-WC)",8,9183358,"LOC157273","rs9987289",14502,11530,8,"Silent",0.08944000,-2.871,0.0001409,-2.806,0.0002646,-1.814,0.07369,-2.492,0.001527,-3.188,0.006504,0.00,0.9766,0.94,0.231,"Lipids","CHOLESTEROL BLOOD","Chol",12822,"rs9987289",20686565,"Biological, clinical and population relevance of 95 loci for blood lipids.","Cholesterol, total","Up to 100,184 European descent individuals",NULL,"8p23.1",8,9183358,"PPP1R3B","LOC157273",NULL,NULL,"rs9987289-T","rs9987289",9987289,"intron",0,0.1,9E-24,23.0458,"",3.14,3.14,"[2.51-3.77] mg/dL decrease","Affymetrix, Illumina & Perlegen [~2.6 million] (imputed)","N",527,"2012-01-25",1,1
"rs13315871","Chol","max",0.005796,-3.29,"Cholesterol, total","Systemic lupus erythematosus and Systemic sclerosis (ACA) || Systemic lupus erythematosus",3,58381287,"PXK","rs13315871",14502,11530,8,"Silent",0.08459000,-2.058,0.007371,-2.114,0.006948,-2.339,0.02348,-1.374,0.08605,-3.29,0.005796,0.70,0.7241,1.01,0.8893,"Lipids","CHOLESTEROL BLOOD","Chol",386,"rs13315871",24097068,"Discovery and refinement of loci associated with lipid levels.","Cholesterol, total","94,595 Euroepan ancestry individuals","93,982 European ancestry individuals","3p14.3",3,58381287,"PXK","PXK",NULL,NULL,"rs13315871-A","rs13315871",13315871,"intron",0,0.1,4E-8,7.39794,"",.04,0.04,"[NR] unit decrease","NR (Imputed)","N",527,"2014-05-12",1,1
"rs7570971","Chol","max",0.248,0.7972,"Cholesterol, total","Cholesterol, total",2,135837906,"RAB3GAP1","rs7570971",14502,11530,8,"Silent,Silent",0.32240000,0.2621,0.5554,0.1778,0.6948,0.3483,0.5599,0.0465,0.92,0.7972,0.248,0.68,0.4908,1.02,0.545,"Lipids","CHOLESTEROL BLOOD","Chol",387,"rs7570971",24097068,"Discovery and refinement of loci associated with lipid levels.","Cholesterol, total","94,595 Euroepan ancestry individuals","93,982 European ancestry individuals","2q21.3",2,135837906,"RAB3GAP1","RAB3GAP1",NULL,NULL,"rs7570971-A","rs7570971",7570971,"intron",0,0.35,1E-13,13,"",.03,0.03,"[NR] unit increase","NR (Imputed)","N",527,"2014-05-12",1,1
"rs7570971","Chol","max",0.248,0.7972,"Cholesterol, total","Cholesterol, total",2,135837906,"RAB3GAP1","rs7570971",14502,11530,8,"Silent,Silent",0.32240000,0.2621,0.5554,0.1778,0.6948,0.3483,0.5599,0.0465,0.92,0.7972,0.248,0.68,0.4908,1.02,0.545,"Lipids","CHOLESTEROL BLOOD","Chol",12854,"rs7570971",20686565,"Biological, clinical and population relevance of 95 loci for blood lipids.","Cholesterol, total","Up to 100,184 European descent individuals",NULL,"2q21.3",2,135837906,"RAB3GAP1","RAB3GAP1",NULL,NULL,"rs7570971-T","rs7570971",7570971,"intron",0,0.31,1E-8,8,"",1.18,1.18,"[0.75-1.61] mg/dL increase","Affymetrix, Illumina & Perlegen [~2.6 million] (imputed)","N",527,"2012-01-25",1,1
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Chol",388,"rs2290159",24097068,"Discovery and refinement of loci associated with lipid levels.","Cholesterol, total","94,595 Euroepan ancestry individuals","93,982 European ancestry individuals","3p25.2",3,12628920,"RAF1","RAF1",NULL,NULL,"rs2290159-C","rs2290159",2290159,"intron",0,0.23,2E-9,8.69897,"",.04,0.04,"[NR] unit decrease","NR (Imputed)","N",527,"2014-05-12",1,1
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Chol",12852,"rs2290159",20686565,"Biological, clinical and population relevance of 95 loci for blood lipids.","Cholesterol, total","Up to 100,184 European descent individuals",NULL,"3p25.2",3,12628920,"RAF1","RAF1",NULL,NULL,"rs2290159-C","rs2290159",2290159,"intron",0,0.22,4E-9,8.39794,"",1.42,1.42,"[0.97-1.87] mg/dL decrease","Affymetrix, Illumina & Perlegen [~2.6 million] (imputed)","N",527,"2012-01-25",1,1
