ind	SNP	pheno	maf	prev	table	logit_OR	logit_p-val	exact_OR	exact_p-val
3791	exm44	pheno_509	1.683e-05	1.239e-01	[[20217, 0], [2860, 1]]	6.457e+16	1.000e+00	0.000e+00	0.000e+00
3792	exm44	pheno_509.1	1.683e-05	8.553e-02	[[20217, 0], [1891, 1]]	9.176e+16	1.000e+00	0.000e+00	0.000e+00
3794	exm44	pheno_509.3	1.683e-05	4.114e-02	[[20217, 0], [867, 1]]	2.280e+17	1.000e+00	0.000e+00	0.000e+00
3803	exm44	pheno_513	1.683e-05	4.818e-02	[[21697, 0], [1097, 1]]	7.237e+16	1.000e+00	0.000e+00	0.000e+00
3804	exm44	pheno_513.3	1.683e-05	1.376e-02	[[21697, 0], [302, 1]]	1.111e+17	1.000e+00	0.000e+00	0.000e+00
3935	exm44	pheno_573.5	1.683e-05	1.704e-02	[[23286, 0], [403, 1]]	3.100e+17	1.000e+00	0.000e+00	0.000e+00
3972	exm44	pheno_585	1.683e-05	1.625e-01	[[22243, 0], [4313, 1]]	8.890e+16	1.000e+00	0.000e+00	0.000e+00
3973	exm44	pheno_585.1	1.683e-05	1.081e-01	[[22243, 0], [2697, 1]]	1.308e+17	1.000e+00	0.000e+00	0.000e+00
3979	exm44	pheno_586	1.683e-05	1.028e-01	[[22243, 0], [2547, 1]]	9.617e+16	1.000e+00	0.000e+00	0.000e+00
4014	exm44	pheno_599	1.683e-05	1.577e-01	[[21967, 0], [4114, 1]]	6.197e+16	1.000e+00	0.000e+00	0.000e+00
4020	exm44	pheno_599.6	1.683e-05	3.852e-03	[[21967, 0], [84, 1]]	1.469e+18	1.000e+00	0.000e+00	0.000e+00
4121	exm44	pheno_656	1.683e-05	1.771e-02	[[28942, 0], [521, 1]]	1.996e+16	1.000e+00	0.000e+00	0.000e+00
4123	exm44	pheno_656.2	1.683e-05	1.056e-02	[[28942, 0], [308, 1]]	3.040e+16	1.000e+00	0.000e+00	0.000e+00
4124	exm44	pheno_656.3	1.683e-05	3.407e-03	[[28942, 0], [98, 1]]	5.490e+16	1.000e+00	0.000e+00	0.000e+00
4129	exm44	pheno_656.8	1.683e-05	6.245e-03	[[28942, 0], [181, 1]]	3.026e+16	1.000e+00	0.000e+00	0.000e+00
4303	exm44	pheno_747	1.683e-05	3.902e-02	[[28032, 0], [1138, 1]]	3.284e+16	1.000e+00	0.000e+00	0.000e+00
4304	exm44	pheno_747.1	1.683e-05	3.615e-02	[[28032, 0], [1051, 1]]	3.436e+16	1.000e+00	0.000e+00	0.000e+00
4305	exm44	pheno_747.11	1.683e-05	2.415e-02	[[28032, 0], [693, 1]]	4.886e+16	1.000e+00	0.000e+00	0.000e+00
4306	exm44	pheno_747.12	1.683e-05	1.444e-02	[[28032, 0], [410, 1]]	6.560e+16	1.000e+00	0.000e+00	0.000e+00
4307	exm44	pheno_747.13	1.683e-05	1.378e-02	[[28032, 0], [391, 1]]	5.080e+16	1.000e+00	0.000e+00	0.000e+00
4328	exm44	pheno_752	1.683e-05	7.722e-03	[[28897, 0], [223, 1]]	1.260e+17	1.000e+00	0.000e+00	0.000e+00
4331	exm44	pheno_752.2	1.683e-05	5.503e-03	[[28897, 0], [158, 1]]	1.718e+17	1.000e+00	0.000e+00	0.000e+00
4416	exm44	pheno_850	1.683e-05	2.296e-02	[[25053, 0], [587, 1]]	3.085e+17	1.000e+00	0.000e+00	0.000e+00
4419	exm44	pheno_854	1.683e-05	2.728e-02	[[25053, 0], [702, 1]]	1.627e+17	1.000e+00	0.000e+00	0.000e+00
4537	exm46	pheno_153	5.047e-05	4.134e-02	[[24440, 2], [1053, 1]]	2.229e+01	2.452e-02	1.160e+01	1.936e-02
4538	exm46	pheno_153.2	5.047e-05	3.528e-02	[[24440, 2], [893, 1]]	2.596e+01	1.813e-02	1.368e+01	1.624e-02
4539	exm46	pheno_153.3	5.047e-05	1.926e-02	[[24440, 2], [479, 1]]	4.499e+01	5.041e-03	2.551e+01	8.472e-03
4575	exm46	pheno_185	5.047e-05	1.422e-01	[[9683, 0], [1605, 1]]	0.000e+00	0.000e+00	0.000e+00	0.000e+00
4590	exm46	pheno_193	5.047e-05	1.863e-02	[[28449, 2], [539, 1]]	2.521e+01	9.175e-03	2.639e+01	8.181e-03
4604	exm46	pheno_199	5.047e-05	7.415e-02	[[20851, 1], [1669, 1]]	2.071e+01	3.250e-02	1.249e+01	2.057e-02
4667	exm46	pheno_246	5.047e-05	1.040e-02	[[23498, 2], [246, 1]]	5.337e+01	1.206e-03	4.776e+01	4.460e-03
4714	exm46	pheno_259.4	5.047e-05	2.249e-03	[[25725, 2], [57, 1]]	1.252e+02	4.070e-03	2.257e+02	9.323e-04
4724	exm46	pheno_264	5.047e-05	5.809e-02	[[22002, 2], [1356, 1]]	6.131e+00	1.742e-01	8.113e+00	2.855e-02
4725	exm46	pheno_264.2	5.047e-05	3.483e-02	[[22002, 2], [793, 1]]	1.064e+01	6.129e-02	1.387e+01	1.601e-02
4754	exm46	pheno_276	5.047e-05	2.728e-01	[[19215, 1], [7206, 1]]	4.235e+00	3.082e-01	2.667e+00	1.278e-01
4888	exm46	pheno_315	5.047e-05	2.018e-02	[[28012, 2], [575, 1]]	1.751e+01	3.848e-02	2.436e+01	8.887e-03
4891	exm46	pheno_315.3	5.047e-05	5.573e-03	[[28012, 2], [156, 1]]	5.419e+01	3.839e-03	8.978e+01	2.355e-03
4933	exm46	pheno_343	5.047e-05	7.176e-03	[[22688, 2], [163, 1]]	5.276e+01	6.697e-03	6.960e+01	3.046e-03
4934	exm46	pheno_344	5.047e-05	1.098e-02	[[22688, 2], [251, 1]]	4.204e+01	2.344e-03	4.520e+01	4.718e-03
4935	exm46	pheno_345	5.047e-05	7.247e-02	[[22688, 2], [1772, 1]]	4.957e+00	2.035e-01	6.402e+00	3.715e-02
4936	exm46	pheno_345.1	5.047e-05	3.253e-02	[[22688, 2], [762, 1]]	1.085e+01	6.508e-02	1.489e+01	1.485e-02
4937	exm46	pheno_345.11	5.047e-05	1.557e-02	[[22688, 2], [358, 1]]	2.316e+01	1.894e-02	3.169e+01	6.779e-03
4938	exm46	pheno_345.12	5.047e-05	2.000e-02	[[22688, 2], [462, 1]]	1.832e+01	2.345e-02	2.455e+01	8.813e-03
4939	exm46	pheno_345.3	5.047e-05	6.336e-02	[[22688, 2], [1534, 1]]	5.642e+00	1.711e-01	7.395e+00	3.162e-02
4948	exm46	pheno_350	5.047e-05	6.248e-02	[[26603, 2], [1772, 1]]	8.945e+00	7.566e-02	7.506e+00	3.110e-02
4949	exm46	pheno_350.1	5.047e-05	1.942e-02	[[26603, 2], [526, 1]]	2.334e+01	1.037e-02	2.529e+01	8.549e-03
5054	exm46	pheno_381	5.047e-05	5.332e-02	[[26063, 2], [1467, 1]]	5.847e+00	1.727e-01	8.883e+00	2.585e-02
5057	exm46	pheno_381.2	5.047e-05	2.437e-02	[[26063, 2], [650, 1]]	1.525e+01	2.990e-02	2.005e+01	1.087e-02
5061	exm46	pheno_384	5.047e-05	4.925e-03	[[26063, 2], [128, 1]]	7.655e+01	5.819e-04	1.018e+02	2.075e-03
5062	exm46	pheno_384.4	5.047e-05	4.583e-03	[[26063, 2], [119, 1]]	8.087e+01	5.178e-04	1.095e+02	1.928e-03
5063	exm46	pheno_385	5.047e-05	3.860e-03	[[26063, 2], [100, 1]]	1.069e+02	1.726e-04	1.303e+02	1.618e-03
5064	exm46	pheno_385.3	5.047e-05	2.983e-03	[[26063, 2], [77, 1]]	1.435e+02	6.311e-05	1.692e+02	1.244e-03
5072	exm46	pheno_389	5.047e-05	8.851e-02	[[25889, 1], [2513, 1]]	1.572e+01	5.176e-02	1.030e+01	2.587e-02
5184	exm46	pheno_441	5.047e-05	6.773e-03	[[24049, 1], [163, 1]]	1.493e+02	4.338e-04	1.475e+02	1.358e-03
5274	exm46	pheno_501	5.047e-05	1.791e-02	[[20228, 2], [368, 1]]	3.623e+01	5.035e-03	2.748e+01	7.846e-03
5289	exm46	pheno_510	5.047e-05	9.670e-02	[[21707, 2], [2323, 1]]	5.963e+00	1.555e-01	4.672e+00	5.317e-02
5344	exm46	pheno_530	5.047e-05	2.356e-01	[[19218, 1], [5923, 1]]	3.543e+00	3.737e-01	3.245e+00	1.023e-01
5345	exm46	pheno_530.1	5.047e-05	2.156e-01	[[19218, 1], [5281, 1]]	3.929e+00	3.348e-01	3.639e+00	8.959e-02
5346	exm46	pheno_530.11	5.047e-05	1.958e-01	[[19218, 1], [4679, 1]]	4.540e+00	2.865e-01	4.107e+00	7.775e-02
5380	exm46	pheno_550	5.047e-05	8.620e-02	[[25936, 2], [2446, 1]]	7.312e+00	1.199e-01	5.302e+00	4.599e-02
5381	exm46	pheno_550.1	5.047e-05	2.128e-02	[[25936, 2], [563, 1]]	5.038e+01	7.383e-03	2.303e+01	9.416e-03
5398	exm46	pheno_560	5.047e-05	5.299e-02	[[21246, 1], [1188, 1]]	2.194e+01	2.915e-02	1.788e+01	1.350e-02
5401	exm46	pheno_560.3	5.047e-05	6.220e-03	[[21246, 1], [132, 1]]	1.566e+02	3.897e-04	1.610e+02	1.241e-03
5482	exm46	pheno_591	5.047e-05	1.682e-01	[[21238, 1], [4292, 2]]	1.265e+01	3.865e-02	9.897e+00	2.737e-02
5501	exm46	pheno_597	5.047e-05	2.048e-02	[[26540, 2], [554, 1]]	3.076e+01	6.703e-03	2.395e+01	9.042e-03
5504	exm46	pheno_597.8	5.047e-05	6.178e-03	[[26540, 2], [164, 1]]	1.537e+02	2.746e-04	8.091e+01	2.616e-03
5506	exm46	pheno_599	5.047e-05	1.577e-01	[[21979, 2], [4116, 1]]	3.701e+00	2.922e-01	2.670e+00	1.026e-01
5510	exm46	pheno_599.4	5.047e-05	5.283e-02	[[21979, 2], [1225, 1]]	1.565e+01	2.718e-02	8.971e+00	2.557e-02
5523	exm46	pheno_603	5.047e-05	1.362e-02	[[9632, 0], [132, 1]]	0.000e+00	0.000e+00	0.000e+00	0.000e+00
5524	exm46	pheno_603.1	5.047e-05	1.068e-02	[[9632, 0], [103, 1]]	0.000e+00	0.000e+00	0.000e+00	0.000e+00
5531	exm46	pheno_610	5.047e-05	5.885e-02	[[12376, 1], [773, 1]]	0.000e+00	0.000e+00	1.601e+01	1.536e-02
5533	exm46	pheno_610.2	5.047e-05	1.613e-03	[[12376, 1], [19, 1]]	0.000e+00	0.000e+00	6.514e+02	2.989e-04
5534	exm46	pheno_610.4	5.047e-05	6.422e-03	[[12376, 1], [79, 1]]	0.000e+00	0.000e+00	1.567e+02	1.276e-03
5717	exm46	pheno_716	5.047e-05	5.072e-02	[[24293, 2], [1297, 1]]	1.454e+01	3.226e-02	9.365e+00	2.440e-02
5718	exm46	pheno_716.9	5.047e-05	4.878e-02	[[24293, 2], [1245, 1]]	1.571e+01	2.817e-02	9.756e+00	2.334e-02
5741	exm46	pheno_727	5.047e-05	5.899e-02	[[23557, 2], [1476, 1]]	9.168e+00	7.085e-02	7.980e+00	2.907e-02
5750	exm46	pheno_733	5.047e-05	2.020e-02	[[25312, 1], [521, 1]]	4.829e+01	6.243e-03	4.858e+01	4.396e-03
5751	exm46	pheno_733.4	5.047e-05	7.411e-03	[[25312, 1], [188, 1]]	1.337e+02	5.873e-04	1.346e+02	1.493e-03
5765	exm46	pheno_737	5.047e-05	1.751e-02	[[26366, 2], [469, 1]]	1.914e+01	2.232e-02	2.811e+01	7.667e-03
5767	exm46	pheno_737.3	5.047e-05	1.487e-02	[[26366, 2], [397, 1]]	2.136e+01	1.955e-02	3.321e+01	6.462e-03
5771	exm46	pheno_740	5.047e-05	1.514e-01	[[23439, 2], [4180, 1]]	6.531e+00	1.585e-01	2.804e+00	9.685e-02
5772	exm46	pheno_740.1	5.047e-05	6.021e-02	[[23439, 2], [1501, 1]]	1.699e+01	3.289e-02	7.808e+00	2.978e-02
5773	exm46	pheno_740.11	5.047e-05	4.599e-02	[[23439, 2], [1129, 1]]	2.232e+01	1.907e-02	1.038e+01	2.182e-02
5776	exm46	pheno_740.9	5.047e-05	1.082e-01	[[23439, 2], [2844, 1]]	9.232e+00	9.474e-02	4.121e+00	6.151e-02
5777	exm46	pheno_741	5.047e-05	3.847e-02	[[26520, 1], [1060, 1]]	2.676e+01	2.049e-02	2.502e+01	9.184e-03
5781	exm46	pheno_742	5.047e-05	9.190e-03	[[26520, 1], [245, 1]]	1.096e+02	9.442e-04	1.082e+02	1.874e-03
5782	exm46	pheno_742.2	5.047e-05	1.017e-03	[[26520, 1], [26, 1]]	3.835e+02	5.160e-05	1.020e+03	1.903e-04
5784	exm46	pheno_743	5.047e-05	1.641e-01	[[23034, 1], [4522, 1]]	7.406e+00	1.574e-01	5.094e+00	6.023e-02
5785	exm46	pheno_743.1	5.047e-05	1.085e-01	[[23034, 1], [2804, 1]]	1.345e+01	6.661e-02	8.215e+00	3.394e-02
5786	exm46	pheno_743.11	5.047e-05	7.996e-02	[[23034, 1], [2001, 1]]	2.063e+01	3.288e-02	1.151e+01	2.267e-02
5794	exm46	pheno_745	5.047e-05	2.933e-01	[[18710, 1], [7765, 1]]	3.019e+00	4.355e-01	2.410e+00	1.429e-01
5828	exm46	pheno_755	5.047e-05	5.285e-03	[[29357, 2], [155, 1]]	5.745e+01	5.766e-03	9.470e+01	2.232e-03
5830	exm46	pheno_755.6	5.047e-05	2.514e-03	[[29357, 2], [73, 1]]	1.342e+02	2.133e-03	2.011e+02	1.047e-03
5831	exm46	pheno_755.61	5.047e-05	2.141e-03	[[29357, 2], [62, 1]]	1.690e+02	1.761e-03	2.368e+02	8.885e-04
5852	exm46	pheno_772.2	5.047e-05	1.738e-02	[[26739, 2], [472, 1]]	2.437e+01	9.900e-03	2.833e+01	7.607e-03
5853	exm46	pheno_772.3	5.047e-05	3.182e-02	[[26739, 2], [878, 1]]	1.476e+01	2.820e-02	1.523e+01	1.450e-02
5861	exm46	pheno_785	5.047e-05	2.828e-01	[[19013, 0], [7495, 2]]	8.211e+15	1.000e+00	0.000e+00	0.000e+00
5863	exm46	pheno_789	5.047e-05	1.968e-01	[[21539, 2], [5277, 1]]	1.702e+00	6.675e-01	2.041e+00	1.410e-01
5893	exm46	pheno_809	5.047e-05	2.622e-02	[[25442, 2], [684, 1]]	1.846e+01	1.739e-02	1.860e+01	1.176e-02
5900	exm46	pheno_830	5.047e-05	2.570e-02	[[27828, 2], [733, 1]]	1.875e+01	1.678e-02	1.898e+01	1.151e-02
5965	exm46	pheno_990	5.047e-05	1.193e-02	[[27173, 2], [327, 1]]	5.899e+01	1.513e-03	4.155e+01	5.140e-03
5975	exm47	pheno_038	5.049e-05	7.407e-02	[[24951, 1], [1995, 1]]	1.041e+01	9.774e-02	1.251e+01	2.054e-02
5979	exm47	pheno_041	5.049e-05	1.027e-01	[[24951, 1], [2853, 1]]	8.440e+00	1.316e-01	8.746e+00	3.148e-02
6071	exm47	pheno_189	5.049e-05	3.627e-02	[[28232, 2], [1062, 1]]	7.819e+00	9.387e-02	1.329e+01	1.675e-02
6075	exm47	pheno_189.2	5.049e-05	1.729e-02	[[28232, 2], [496, 1]]	1.695e+01	2.174e-02	2.846e+01	7.570e-03
6076	exm47	pheno_189.21	5.049e-05	1.705e-02	[[28232, 2], [489, 1]]	1.741e+01	2.056e-02	2.887e+01	7.460e-03
6079	exm47	pheno_191	5.049e-05	2.753e-02	[[27894, 2], [789, 1]]	1.682e+01	2.133e-02	1.768e+01	1.240e-02
6080	exm47	pheno_191.1	5.049e-05	2.231e-02	[[27894, 2], [636, 1]]	2.095e+01	1.311e-02	2.193e+01	9.907e-03
6081	exm47	pheno_191.11	5.049e-05	2.019e-02	[[27894, 2], [574, 1]]	2.326e+01	1.030e-02	2.430e+01	8.909e-03
6086	exm47	pheno_196	5.049e-05	3.257e-02	[[20839, 2], [701, 1]]	1.013e+01	5.908e-02	1.486e+01	1.488e-02
6087	exm47	pheno_197	5.049e-05	1.461e-01	[[20839, 2], [3567, 1]]	2.382e+00	4.788e-01	2.921e+00	9.225e-02
6162	exm47	pheno_250	5.049e-05	1.888e-01	[[21520, 2], [5010, 1]]	1.528e+00	7.297e-01	2.148e+00	1.328e-01
6169	exm47	pheno_250.2	5.049e-05	1.784e-01	[[21520, 2], [4673, 1]]	1.634e+00	6.890e-01	2.303e+00	1.223e-01
6252	exm47	pheno_276.4	5.049e-05	4.890e-02	[[19203, 2], [986, 1]]	8.966e+00	7.353e-02	9.738e+00	2.339e-02
6294	exm47	pheno_286	5.049e-05	1.274e-01	[[22554, 1], [3294, 1]]	5.336e+00	2.368e-01	6.847e+00	4.225e-02
6304	exm47	pheno_286.8	5.049e-05	8.698e-03	[[22554, 1], [197, 1]]	1.386e+02	5.130e-04	1.145e+02	1.767e-03
6389	exm47	pheno_318	5.049e-05	6.657e-02	[[25349, 2], [1808, 1]]	5.821e+00	1.506e-01	7.010e+00	3.356e-02
6397	exm47	pheno_327.3	5.049e-05	6.021e-02	[[24337, 2], [1558, 1]]	5.855e+00	1.492e-01	7.810e+00	2.977e-02
6579	exm47	pheno_396	5.049e-05	3.104e-02	[[24805, 2], [793, 1]]	1.913e+01	1.612e-02	1.564e+01	1.410e-02
6580	exm47	pheno_401	5.049e-05	4.623e-01	[[14591, 2], [12555, 1]]	3.440e-01	3.858e-01	5.811e-01	2.347e-08
6581	exm47	pheno_401.1	5.049e-05	4.578e-01	[[14591, 2], [12329, 1]]	3.510e-01	3.947e-01	5.917e-01	4.013e-04
6586	exm47	pheno_411	5.049e-05	2.005e-01	[[21975, 2], [5514, 1]]	1.148e+00	9.111e-01	1.993e+00	1.450e-01
6588	exm47	pheno_411.2	5.049e-05	6.621e-02	[[21975, 2], [1558, 1]]	3.935e+00	2.660e-01	7.052e+00	3.334e-02
6590	exm47	pheno_411.4	5.049e-05	1.827e-01	[[21975, 2], [4914, 1]]	1.261e+00	8.510e-01	2.236e+00	1.266e-01
6600	exm47	pheno_416	5.049e-05	6.187e-02	[[25005, 2], [1648, 1]]	5.883e+00	1.481e-01	7.586e+00	3.074e-02
6612	exm47	pheno_426	5.049e-05	1.312e-01	[[18396, 1], [2778, 1]]	4.259e+00	3.066e-01	6.622e+00	4.398e-02
6628	exm47	pheno_427	5.049e-05	2.924e-01	[[18396, 1], [7601, 2]]	3.755e+00	2.805e-01	4.840e+00	6.766e-02
6635	exm47	pheno_427.3	5.049e-05	7.711e-02	[[18396, 1], [1537, 1]]	8.631e+00	1.279e-01	1.197e+01	2.164e-02
6645	exm47	pheno_428	5.049e-05	1.231e-01	[[23390, 2], [3284, 1]]	2.634e+00	4.300e-01	3.561e+00	7.298e-02
6646	exm47	pheno_428.1	5.049e-05	1.083e-01	[[23390, 2], [2841, 1]]	3.025e+00	3.672e-01	4.117e+00	6.158e-02
6647	exm47	pheno_428.2	5.049e-05	3.469e-02	[[23390, 2], [840, 1]]	8.851e+00	7.569e-02	1.392e+01	1.594e-02
6648	exm47	pheno_428.3	5.049e-05	4.357e-02	[[23390, 2], [1065, 1]]	7.259e+00	1.061e-01	1.098e+01	2.054e-02
6670	exm47	pheno_440	5.049e-05	5.012e-02	[[24037, 1], [1268, 1]]	1.412e+01	6.297e-02	1.896e+01	1.262e-02
6672	exm47	pheno_440.2	5.049e-05	2.710e-02	[[24037, 1], [669, 1]]	2.285e+01	2.769e-02	3.593e+01	6.120e-03
6689	exm47	pheno_444	5.049e-05	1.232e-02	[[24037, 1], [299, 1]]	5.763e+01	4.218e-03	8.039e+01	2.562e-03
6690	exm47	pheno_444.1	5.049e-05	3.728e-03	[[24037, 1], [89, 1]]	1.922e+02	2.166e-04	2.701e+02	7.299e-04
6692	exm47	pheno_446	5.049e-05	1.965e-02	[[24037, 1], [481, 1]]	5.113e+01	5.487e-03	4.997e+01	4.263e-03
6694	exm47	pheno_446.3	5.049e-05	1.826e-03	[[24037, 1], [43, 1]]	5.341e+02	1.186e-05	5.590e+02	3.490e-04
6705	exm47	pheno_452	5.049e-05	6.106e-02	[[22605, 2], [1470, 1]]	6.409e+00	1.296e-01	7.689e+00	3.029e-02
6707	exm47	pheno_452.2	5.049e-05	3.039e-02	[[22605, 2], [708, 1]]	1.370e+01	3.283e-02	1.596e+01	1.380e-02
6717	exm47	pheno_458	5.049e-05	7.939e-02	[[24605, 1], [2121, 1]]	8.895e+00	1.226e-01	1.160e+01	2.246e-02
6720	exm47	pheno_458.9	5.049e-05	5.992e-02	[[24605, 1], [1567, 1]]	1.165e+01	8.283e-02	1.570e+01	1.571e-02
6773	exm47	pheno_507	5.049e-05	1.289e-01	[[20217, 2], [2991, 1]]	2.555e+00	4.442e-01	3.380e+00	7.762e-02
6774	exm47	pheno_508	5.049e-05	1.631e-01	[[20217, 2], [3941, 1]]	1.828e+00	6.225e-01	2.565e+00	1.076e-01
6775	exm47	pheno_509	5.049e-05	1.239e-01	[[20217, 2], [2859, 1]]	2.731e+00	4.122e-01	3.536e+00	7.360e-02
6776	exm47	pheno_509.1	5.049e-05	8.553e-02	[[20217, 2], [1890, 1]]	4.187e+00	2.425e-01	5.348e+00	4.553e-02
6956	exm47	pheno_585	5.049e-05	1.625e-01	[[22244, 1], [4316, 1]]	3.458e+00	3.808e-01	5.154e+00	5.940e-02
6957	exm47	pheno_585.1	5.049e-05	1.081e-01	[[22244, 1], [2697, 1]]	5.542e+00	2.264e-01	8.248e+00	3.378e-02
7117	exm47	pheno_681	5.049e-05	9.005e-02	[[24572, 2], [2432, 1]]	4.628e+00	2.111e-01	5.052e+00	4.860e-02
7120	exm47	pheno_681.3	5.049e-05	1.082e-02	[[24572, 2], [268, 1]]	3.890e+01	2.866e-03	4.584e+01	4.650e-03
7184	exm47	pheno_707	5.049e-05	3.559e-02	[[28166, 2], [1039, 1]]	1.088e+01	5.163e-02	1.355e+01	1.640e-02
7185	exm47	pheno_707.1	5.049e-05	2.057e-02	[[28166, 2], [591, 1]]	1.913e+01	1.617e-02	2.383e+01	9.091e-03
7203	exm47	pheno_714	5.049e-05	5.570e-02	[[24281, 2], [1432, 1]]	1.459e+01	2.881e-02	8.478e+00	2.720e-02
7204	exm47	pheno_714.1	5.049e-05	4.433e-02	[[24281, 2], [1126, 1]]	1.833e+01	1.776e-02	1.078e+01	2.095e-02
7340	exm47	pheno_771.1	5.049e-05	3.749e-02	[[25889, 2], [1008, 1]]	1.216e+01	4.170e-02	1.284e+01	1.737e-02
7360	exm47	pheno_791	5.049e-05	2.766e-03	[[29549, 2], [81, 1]]	1.128e+02	1.258e-04	1.824e+02	1.154e-03
7366	exm47	pheno_797	5.049e-05	3.177e-02	[[28239, 2], [925, 1]]	1.183e+01	4.387e-02	1.526e+01	1.447e-02
7421	exm47	pheno_874	5.049e-05	1.904e-03	[[26192, 2], [49, 1]]	1.741e+02	3.060e-05	2.673e+02	7.867e-04
7461	exm51	pheno_008	5.030e-03	2.377e-02	[[28010, 285, 1], [680, 9, 0]]	1.269e+00	4.836e-01	1.290e+00	2.062e-01
7462	exm51	pheno_008.5	5.030e-03	1.757e-02	[[28010, 285, 1], [501, 5, 0]]	9.681e-01	9.428e-01	9.741e-01	1.179e-01
7463	exm51	pheno_008.52	5.030e-03	1.665e-02	[[28010, 285, 1], [474, 5, 0]]	1.026e+00	9.543e-01	1.029e+00	4.130e-01
7464	exm51	pheno_008.6	5.030e-03	4.293e-03	[[28010, 285, 1], [121, 1, 0]]	7.779e-01	8.028e-01	8.073e-01	3.590e-02
7465	exm51	pheno_010	5.030e-03	1.799e-03	[[24714, 248, 1], [44, 1, 0]]	2.255e+00	4.162e-01	2.233e+00	1.367e-01
7466	exm51	pheno_031	5.030e-03	1.720e-03	[[24714, 248, 1], [41, 2, 0]]	4.679e+00	3.060e-02	4.731e+00	3.595e-02
7467	exm51	pheno_038	5.030e-03	7.407e-02	[[24714, 248, 1], [1973, 24, 0]]	1.198e+00	3.984e-01	1.201e+00	1.866e-01
7468	exm51	pheno_038.1	5.030e-03	1.062e-02	[[24714, 248, 1], [265, 3, 0]]	1.097e+00	8.733e-01	1.118e+00	3.471e-01
7469	exm51	pheno_038.2	5.030e-03	8.027e-03	[[24714, 248, 1], [200, 2, 0]]	9.821e-01	9.797e-01	9.886e-01	9.210e-02
7470	exm51	pheno_038.3	5.030e-03	4.430e-02	[[24714, 248, 1], [1144, 13, 0]]	1.107e+00	7.226e-01	1.123e+00	3.101e-01
7471	exm51	pheno_041	5.030e-03	1.027e-01	[[24714, 248, 1], [2823, 33, 0]]	1.147e+00	4.612e-01	1.155e+00	2.081e-01
7472	exm51	pheno_041.1	5.030e-03	4.323e-02	[[24714, 248, 1], [1118, 10, 0]]	8.616e-01	6.454e-01	8.847e-01	7.057e-02
7473	exm51	pheno_041.11	5.030e-03	2.029e-02	[[24714, 248, 1], [511, 6, 0]]	1.131e+00	7.663e-01	1.160e+00	3.113e-01
7474	exm51	pheno_041.12	5.030e-03	1.285e-02	[[24714, 248, 1], [324, 1, 0]]	2.999e-01	2.295e-01	3.062e-01	3.903e-02
7475	exm51	pheno_041.2	5.030e-03	2.229e-02	[[24714, 248, 1], [564, 5, 0]]	8.682e-01	7.545e-01	8.769e-01	4.530e-02
7476	exm51	pheno_041.4	5.030e-03	2.336e-02	[[24714, 248, 1], [590, 7, 0]]	1.190e+00	6.515e-01	1.172e+00	2.970e-01
7478	exm51	pheno_041.9	5.030e-03	1.809e-02	[[24714, 248, 1], [453, 7, 0]]	1.507e+00	2.851e-01	1.523e+00	1.330e-01
7479	exm51	pheno_053	5.030e-03	1.336e-02	[[24199, 251, 1], [327, 4, 0]]	1.214e+00	7.007e-01	1.169e+00	3.165e-01
7481	exm51	pheno_054	5.030e-03	8.153e-03	[[24199, 251, 1], [200, 1, 0]]	4.667e-01	4.477e-01	4.795e-01	1.887e-01
7482	exm51	pheno_070	5.030e-03	3.226e-02	[[24199, 251, 1], [810, 5, 0]]	5.846e-01	2.352e-01	5.917e-01	1.038e-01
7484	exm51	pheno_070.3	5.030e-03	1.744e-02	[[24199, 251, 1], [432, 2, 0]]	4.441e-01	2.531e-01	4.441e-01	8.511e-02
7485	exm51	pheno_070.4	5.030e-03	8.958e-03	[[24199, 251, 1], [218, 3, 0]]	1.289e+00	6.634e-01	1.314e+00	2.575e-01
7486	exm51	pheno_071	5.030e-03	5.005e-03	[[24199, 251, 1], [120, 3, 0]]	2.234e+00	1.692e-01	2.374e+00	7.965e-02
7487	exm51	pheno_071.1	5.030e-03	4.843e-03	[[24199, 251, 1], [116, 3, 0]]	2.318e+00	1.503e-01	2.455e+00	7.455e-02
7488	exm51	pheno_078	5.030e-03	1.972e-02	[[24199, 251, 1], [489, 3, 0]]	5.698e-01	3.339e-01	5.880e-01	1.721e-01
7489	exm51	pheno_079	5.030e-03	3.026e-02	[[24199, 251, 1], [759, 4, 0]]	4.750e-01	1.440e-01	5.054e-01	5.741e-02
7491	exm51	pheno_080	5.030e-03	3.394e-02	[[26669, 256, 1], [932, 14, 0]]	1.545e+00	1.136e-01	1.549e+00	6.735e-02
7492	exm51	pheno_081	5.030e-03	3.695e-02	[[26669, 256, 1], [1011, 22, 0]]	2.202e+00	4.111e-04	2.236e+00	1.773e-03
7493	exm51	pheno_090	5.030e-03	1.181e-03	[[29300, 295, 1], [34, 1, 0]]	2.803e+00	3.073e-01	2.874e+00	1.004e-01
7494	exm51	pheno_110	5.030e-03	3.502e-02	[[25447, 262, 1], [925, 8, 0]]	8.742e-01	7.088e-01	8.343e-01	6.473e-05
7495	exm51	pheno_110.1	5.030e-03	3.302e-02	[[25447, 262, 1], [871, 7, 0]]	8.165e-01	5.975e-01	7.755e-01	6.349e-02
7496	exm51	pheno_110.11	5.030e-03	2.458e-02	[[25447, 262, 1], [642, 6, 0]]	9.569e-01	9.153e-01	9.013e-01	7.043e-02
