SNP	pheno	maf	prev	table	minN	logit_OR	logit_p-val	exact_OR	exact_p-val	bayes factor
exm1188984	pheno_575.1	1.030e-03	8.587e-03	[[27218, 51], [231, 6]]	6.000e+00	1.405e+01	1.554e-09	1.386e+01	2.908e-03	59.09
exm1188984	pheno_157	1.030e-03	8.602e-03	[[25215, 49], [215, 5]]	5.000e+00	1.180e+01	2.658e-07	1.197e+01	6.999e-03	26.61
exm1189248	pheno_530.15	3.971e-03	2.646e-03	[[19069, 149], [45, 6]]	6.000e+00	1.573e+01	2.925e-09	1.706e+01	2.509e-03	68.40
exm1189673	pheno_358.1	1.077e-03	5.102e-03	[[26663, 52], [132, 5]]	5.000e+00	1.997e+01	4.500e-10	1.942e+01	4.714e-03	38.59
exm1189673	pheno_358	1.077e-03	5.657e-03	[[26663, 52], [147, 5]]	5.000e+00	1.782e+01	1.741e-09	1.744e+01	5.066e-03	36.03
exm1189778	pheno_643	2.052e-03	1.773e-03	[[15139, 63], [24, 3]]	3.000e+00	0.000e+00	0.000e+00	3.004e+01	2.385e-02	9.40
exm1190406	pheno_642.1	2.310e-03	6.860e-03	[[15006, 72], [99, 5]]	5.000e+00	0.000e+00	0.000e+00	1.053e+01	7.929e-03	23.65
exm1190406	pheno_571.6	2.310e-03	1.011e-02	[[22978, 108], [229, 8]]	8.000e+00	7.037e+00	1.717e-07	7.433e+00	1.805e-03	87.71
exm119231	pheno_529	2.170e-03	3.079e-03	[[27409, 116], [80, 5]]	5.000e+00	1.437e+01	1.523e-08	1.477e+01	5.547e-03	32.89
exm1192377	pheno_365.11	1.379e-03	1.462e-02	[[26415, 67], [385, 8]]	8.000e+00	9.151e+00	2.215e-08	8.192e+00	1.596e-03	99.29
exm1193525	pheno_537.1	2.507e-03	1.772e-03	[[25775, 132], [42, 4]]	4.000e+00	1.819e+01	5.805e-08	1.860e+01	1.116e-02	17.88
exm1193637	pheno_803.3	4.291e-03	5.317e-03	[[25228, 208], [128, 8]]	8.000e+00	7.525e+00	5.408e-08	7.581e+00	1.694e-03	92.94
exm1193931	pheno_327.5	1.447e-03	1.108e-03	[[24285, 63, 1], [24, 3, 0]]	0.000e+00	2.885e+01	1.857e-07	4.401e+01	2.023e-02	10.76
exm1193943	pheno_441	4.997e-03	6.773e-03	[[23829, 219, 1], [154, 9, 1]]	1.000e+00	7.065e+00	2.926e-10	7.517e+00	2.581e-04	527.03
exm1193943	pheno_283.1	4.997e-03	3.712e-03	[[18874, 181, 1], [65, 5, 1]]	1.000e+00	9.648e+00	4.581e-09	1.075e+01	1.704e-03	94.14
exm1194288	pheno_701.5	2.153e-03	2.154e-03	[[26301, 109, 1], [53, 4, 0]]	0.000e+00	1.503e+01	9.772e-08	1.727e+01	1.076e-02	18.25
exm1196037	pheno_743.4	1.279e-03	1.777e-03	[[22974, 60], [38, 3]]	3.000e+00	2.971e+01	3.896e-08	3.023e+01	2.271e-02	9.73
exm1196213	pheno_697	2.616e-03	1.112e-02	[[25028, 130], [273, 10]]	1.000e+01	6.924e+00	6.953e-09	7.052e+00	6.238e-04	232.10
exm1196213	pheno_575.1	2.616e-03	8.587e-03	[[27140, 137], [229, 8]]	8.000e+00	7.059e+00	1.300e-07	6.921e+00	2.030e-03	78.26
exm1197686	pheno_619.3	2.122e-03	3.169e-03	[[14382, 69], [42, 4]]	4.000e+00	0.000e+00	0.000e+00	1.985e+01	1.119e-02	17.93
exm1199056	pheno_750.22	1.463e-03	1.468e-03	[[24589, 68], [29, 3]]	3.000e+00	3.542e+01	2.166e-08	3.741e+01	2.198e-02	10.07
exm1199091	pheno_580.31	1.598e-03	1.120e-02	[[22189, 68], [245, 7]]	7.000e+00	9.522e+00	2.236e-08	9.323e+00	2.363e-03	69.84
exm1199091	pheno_750.22	1.598e-03	1.468e-03	[[27798, 85], [38, 3]]	3.000e+00	2.542e+01	2.106e-07	2.582e+01	2.342e-02	9.43
exm1199819	pheno_724	3.062e-03	4.587e-03	[[24170, 136, 1], [105, 7, 0]]	0.000e+00	1.102e+01	8.737e-10	1.133e+01	1.545e-03	103.12
exm1199819	pheno_724.1	3.062e-03	8.221e-04	[[24170, 136, 1], [17, 3, 0]]	0.000e+00	2.694e+01	4.774e-08	2.848e+01	2.244e-02	9.79
exm1201371	pheno_575.1	1.477e-03	8.587e-03	[[27036, 73], [229, 6]]	6.000e+00	9.847e+00	1.085e-07	9.704e+00	4.200e-03	41.47
exm1202219	pheno_209	1.009e-03	1.818e-03	[[29585, 57], [51, 3]]	3.000e+00	2.932e+01	3.242e-08	3.053e+01	2.221e-02	9.89
exm1204512	pheno_529	7.301e-03	3.079e-03	[[27135, 388, 2], [77, 8, 0]]	0.000e+00	6.868e+00	1.423e-07	6.886e+00	1.932e-03	81.57
exm1204723	pheno_780	1.548e-03	2.334e-03	[[29409, 86], [64, 5]]	5.000e+00	2.547e+01	2.023e-11	2.672e+01	3.879e-03	46.38
exm1206135	pheno_735.3	1.094e-03	7.415e-03	[[26294, 54], [192, 5]]	5.000e+00	1.268e+01	1.256e-07	1.268e+01	6.533e-03	28.32
exm1207461	pheno_593.1	8.075e-03	8.588e-03	[[20919, 320, 1], [171, 13, 0]]	0.000e+00	5.008e+00	3.210e-08	4.794e+00	4.290e-04	317.04
exm1208411	pheno_259.1	2.305e-03	3.370e-03	[[25614, 114], [82, 5]]	5.000e+00	1.301e+01	5.116e-08	1.370e+01	5.923e-03	30.92
exm1208970	pheno_157	2.372e-03	8.602e-03	[[25246, 107], [212, 8]]	8.000e+00	8.738e+00	1.004e-08	8.904e+00	1.256e-03	123.60
exm1210031	pheno_593.1	1.045e-03	8.588e-03	[[21164, 32], [179, 5]]	5.000e+00	2.306e+01	2.818e-10	1.847e+01	5.343e-03	34.73
exm1210031	pheno_367.1	1.045e-03	2.723e-02	[[27271, 48], [756, 10]]	1.000e+01	7.678e+00	7.534e-09	7.515e+00	7.285e-04	205.36
exm1210044	pheno_593.1	1.077e-03	8.588e-03	[[21206, 34], [179, 5]]	5.000e+00	2.130e+01	6.703e-10	1.742e+01	5.492e-03	33.77
exm1210765	pheno_378.1	1.151e-02	1.001e-02	[[25223, 578, 5], [241, 20, 0]]	0.000e+00	3.653e+00	6.468e-08	3.457e+00	1.504e-04	816.93
exm1212566	pheno_281.9	2.170e-03	7.086e-03	[[18983, 74, 0], [130, 6, 0]]	0.000e+00	1.182e+01	1.652e-08	1.160e+01	3.289e-03	52.12
exm1213606	pheno_255.3	1.767e-03	1.165e-03	[[25632, 93], [27, 3]]	3.000e+00	3.412e+01	1.953e-08	3.062e+01	2.300e-02	9.66
exm1213606	pheno_724.9	1.767e-03	1.274e-03	[[24221, 83], [28, 3]]	3.000e+00	3.151e+01	3.178e-08	3.127e+01	2.287e-02	9.71
exm1214448	pheno_642.1	2.226e-03	6.860e-03	[[15094, 68], [100, 5]]	5.000e+00	0.000e+00	0.000e+00	1.110e+01	7.536e-03	24.81
exm121746	pheno_305.21	1.598e-03	1.126e-03	[[20343, 69], [20, 3]]	3.000e+00	6.961e+01	2.102e-10	4.422e+01	2.229e-02	10.05
exm1217630	pheno_571.6	1.232e-03	1.011e-02	[[23175, 53], [229, 6]]	6.000e+00	1.099e+01	4.167e-08	1.146e+01	3.598e-03	48.30
exm1217917	pheno_446.3	1.377e-03	1.826e-03	[[21276, 50, 0], [40, 3, 0]]	0.000e+00	3.226e+01	1.770e-08	3.080e+01	2.177e-02	10.04
exm1220681	pheno_283.2	1.377e-02	3.347e-03	[[18516, 486, 8], [53, 10, 0]]	0.000e+00	6.254e+00	2.075e-08	6.443e+00	7.876e-04	185.82
exm1221478	pheno_283.1	4.054e-03	3.712e-03	[[18910, 147, 0], [64, 7, 0]]	0.000e+00	1.406e+01	8.350e-11	1.339e+01	1.275e-03	124.26
exm1221478	pheno_283	4.054e-03	8.945e-03	[[18910, 147, 0], [163, 9, 0]]	0.000e+00	7.072e+00	2.951e-08	6.939e+00	1.092e-03	137.93
exm1221833	pheno_735.1	4.341e-03	2.119e-03	[[26149, 218, 0], [50, 6, 0]]	0.000e+00	1.439e+01	1.079e-09	1.364e+01	2.600e-03	64.70
exm1221854	pheno_550.1	1.009e-03	2.128e-02	[[25891, 47], [556, 8]]	8.000e+00	9.899e+00	2.827e-08	7.926e+00	1.905e-03	84.86
exm1222295	pheno_874	1.615e-03	1.904e-03	[[26130, 76], [46, 4]]	4.000e+00	3.161e+01	1.295e-10	2.990e+01	9.089e-03	21.70
exm1223760	pheno_385.5	1.127e-03	1.341e-03	[[26007, 59], [32, 3]]	3.000e+00	3.830e+01	4.130e-09	4.132e+01	2.143e-02	10.30
exm1224152	pheno_694	4.778e-03	1.078e-02	[[25008, 233, 1], [263, 12, 0]]	0.000e+00	4.956e+00	9.316e-08	4.769e+00	6.982e-04	201.81
exm1225195	pheno_293	2.052e-03	1.054e-03	[[27380, 104], [26, 3]]	3.000e+00	3.023e+01	3.520e-08	3.038e+01	2.307e-02	9.63
exm1226011	pheno_523.32	1.178e-03	1.126e-03	[[27448, 63], [28, 3]]	3.000e+00	4.687e+01	6.526e-10	4.668e+01	2.116e-02	10.45
exm122672	pheno_279.2	1.834e-03	1.133e-03	[[27229, 97], [28, 3]]	3.000e+00	2.854e+01	6.566e-08	3.008e+01	2.298e-02	9.65
exm1238297	pheno_635.2	1.161e-03	2.866e-03	[[15272, 34], [41, 3]]	3.000e+00	0.000e+00	0.000e+00	3.287e+01	2.301e-02	9.68
exm1238729	pheno_596.5	1.060e-03	2.110e-02	[[26495, 47], [564, 8]]	8.000e+00	8.895e+00	1.744e-08	7.996e+00	1.871e-03	86.33
exm1239281	pheno_158	7.049e-03	9.416e-03	[[25013, 337, 4], [228, 12, 1]]	1.000e+00	4.189e+00	1.136e-07	4.367e+00	4.040e-04	332.23
exm1239974	pheno_277	1.855e-03	8.238e-03	[[25246, 89, 0], [219, 4, 1]]	0.000e+00	1.492e+01	3.909e-09	7.715e+00	5.605e-03	31.49
exm1240317	pheno_300.3	3.146e-03	3.223e-03	[[20290, 122], [61, 5]]	5.000e+00	1.410e+01	3.475e-08	1.363e+01	6.148e-03	29.99
exm1241620	pheno_642.1	2.792e-03	6.860e-03	[[15034, 88], [98, 7]]	7.000e+00	0.000e+00	0.000e+00	1.220e+01	1.642e-03	98.88
exm1241620	pheno_697	2.792e-03	1.112e-02	[[24962, 136], [270, 11]]	1.100e+01	7.357e+00	4.317e-10	7.478e+00	2.994e-04	461.24
exm1241703	pheno_200.1	6.188e-03	7.286e-03	[[26121, 147], [183, 9]]	9.000e+00	0.000e+00	0.000e+00	8.739e+00	6.741e-04	218.95
exm1241703	pheno_200	6.188e-03	1.873e-02	[[26121, 147], [487, 14]]	1.400e+01	0.000e+00	0.000e+00	5.108e+00	2.404e-04	549.99
exm1244963	pheno_446.6	1.369e-02	1.453e-03	[[23377, 645, 1], [28, 7, 0]]	0.000e+00	9.115e+00	1.362e-07	8.140e+00	2.923e-03	57.10
exm1247268	pheno_270.32	1.474e-03	1.134e-02	[[27381, 74], [309, 7]]	7.000e+00	8.712e+00	8.327e-08	8.382e+00	2.743e-03	60.51
exm1247933	pheno_270.32	1.043e-03	1.134e-02	[[27589, 51], [311, 6]]	6.000e+00	1.109e+01	4.822e-08	1.044e+01	4.035e-03	43.37
exm1249577	pheno_204.3	1.302e-02	1.074e-03	[[26279, 694, 5], [22, 6, 1]]	1.000e+00	1.187e+01	1.136e-10	1.210e+01	8.581e-04	180.34
exm1255809	pheno_502	1.262e-03	1.763e-02	[[20185, 43], [356, 7]]	7.000e+00	9.693e+00	5.665e-08	9.230e+00	2.695e-03	62.45
exm1256501	pheno_079.2	1.851e-03	1.021e-03	[[24366, 81, 3], [23, 1, 1]]	1.000e+00	2.418e+01	4.955e-09	3.581e+01	2.100e-02	10.38
exm1257719	pheno_794	1.396e-03	1.687e-03	[[29500, 80], [47, 3]]	3.000e+00	2.348e+01	1.969e-07	2.354e+01	2.380e-02	9.27
exm1260167	pheno_728.71	1.264e-03	2.667e-03	[[23468, 44, 2], [60, 3, 0]]	0.000e+00	1.856e+01	1.678e-07	2.387e+01	2.330e-02	9.42
exm1261200	pheno_642.1	2.748e-03	6.860e-03	[[15081, 87], [98, 6]]	6.000e+00	0.000e+00	0.000e+00	1.061e+01	3.889e-03	44.77
exm1261200	pheno_697	2.748e-03	1.112e-02	[[25047, 139], [274, 10]]	1.000e+01	6.444e+00	2.272e-08	6.576e+00	7.472e-04	195.34
exm1261995	pheno_930	1.026e-03	4.977e-03	[[24146, 43], [117, 4]]	4.000e+00	2.030e+01	1.149e-07	1.920e+01	1.099e-02	18.14
exm1262354	pheno_324	1.127e-03	3.389e-03	[[29046, 63], [95, 4]]	4.000e+00	1.954e+01	1.675e-08	1.941e+01	1.057e-02	18.70
exm1262644	pheno_571.6	2.062e-03	1.011e-02	[[23096, 99], [230, 8]]	8.000e+00	7.714e+00	4.823e-08	8.115e+00	1.526e-03	102.94
exm1262644	pheno_642.1	2.062e-03	6.860e-03	[[15073, 65], [99, 5]]	5.000e+00	0.000e+00	0.000e+00	1.171e+01	7.175e-03	25.99
exm1264809	pheno_523.32	1.009e-03	1.126e-03	[[27463, 47], [28, 3]]	3.000e+00	6.540e+01	2.932e-11	6.261e+01	2.053e-02	10.77
exm1264809	pheno_525	1.009e-03	4.739e-03	[[27463, 47], [127, 4]]	4.000e+00	1.820e+01	4.052e-08	1.840e+01	1.108e-02	17.96
exm1269718	pheno_281.11	1.464e-03	1.054e-02	[[19014, 43], [197, 6]]	6.000e+00	1.342e+01	3.489e-08	1.347e+01	3.169e-03	54.83
exm1270003	pheno_430.3	3.617e-03	6.091e-03	[[24466, 169], [143, 8]]	8.000e+00	7.825e+00	3.518e-08	8.099e+00	1.483e-03	105.45
exm1272378	pheno_172.1	8.607e-02	4.747e-02	[[20278, 3622, 175], [915, 264, 20]]	2.000e+01	1.640e+00	1.331e-14	1.615e+00	0.000e+00	nan
exm1272378	pheno_172	8.607e-02	1.130e-01	[[20278, 3622, 175], [2433, 592, 39]]	3.900e+01	1.395e+00	2.655e-13	1.365e+00	2.318e-11	nan
exm1272378	pheno_172.11	8.607e-02	4.137e-02	[[20278, 3622, 175], [789, 232, 17]]	1.700e+01	1.659e+00	1.277e-13	1.635e+00	2.776e-15	nan
exm1272378	pheno_702.1	8.607e-02	6.829e-02	[[19086, 3407, 165], [1315, 319, 26]]	2.600e+01	1.446e+00	5.257e-10	1.400e+00	0.000e+00	nan
exm1272378	pheno_172.2	8.607e-02	8.372e-02	[[20278, 3622, 175], [1752, 417, 27]]	2.700e+01	1.362e+00	5.741e-09	1.336e+00	4.994e-10	nan
exm1272386	pheno_172.11	7.746e-02	4.137e-02	[[20560, 3379, 137], [818, 209, 12]]	1.200e+01	1.546e+00	1.792e-09	1.538e+00	2.220e-16	nan
