,SNP,Lab_name,best_measure,best_P,best_OR_Beta,catalog_assoc_SNP,catalog_assoc_gene,CHR,MapInfo,gene,rsID,cases,eh_case,el_case,Mutation,MAF_W,mean_Beta,mean_P,median_Beta,median_P,first_Beta,first_P,min_Beta,min_P,max_Beta,max_P,ever_low_OR,ever_low_P,ever_high_OR,ever_high_P,Lab_cat,Lab_full_name,SNP.1,lab_name,jd_string,trait
193,rs646776,Chol,mean,3.757e-15,-4.131,"Coronary heart disease || LDL cholesterol || Myocardial infarction (early onset) || Lipid metabolism phenotypes (APOB.assay, fasting) || Progranulin levels || Cholesterol, total || Lipid metabolism phenotypes (LDL.total, whole) || Lipid metabolism phenotypes (APOB.assay, whole) || Response to statin therapy (chol, sum) || Lipid metabolism phenotypes (LDL.total, fasting)",,1,109818530.0,,rs646776,14502.0,11530.0,8.0,,0.2214,-4.131,3.757e-15,-4.072,2.923e-14,-5.024,1.137e-12,-2.387,1.318e-05,-6.3,1.137e-14,1.62,0.3738,0.95,0.1108,Lipids,CHOLESTEROL BLOOD,rs646776,Chol,Hypercholesterolemia,"Cholesterol, total"
194,rs174570,Chol,min,0.2892,-0.7086,"LDL cholesterol || HDL cholesterol || Cholesterol, total","Metabolic syndrome (HDL) || Phospholipid levels (plasma) (ALA) || Phospholipid levels (plasma) (DPA) || Response to statin therapy (HDL, sum) || Cholesterol, total || HDL cholesterol || LDL cholesterol || Phospholipid levels (plasma) (EPA) || Response to statin therapy (Triglyceride, sum) || Liver enzyme levels (alkaline phosphatase)",11,61597212.0,FADS2,rs174570,14502.0,11530.0,8.0,Silent,0.1329,-0.056870000000000004,0.9294,-0.013640000000000001,0.9834,-0.5925,0.4921,-0.7086,0.2892,0.3196,0.7484,1.52,0.5177,1.01,0.7404,Lipids,CHOLESTEROL BLOOD,rs174570,Chol,Hypercholesterolemia,"Cholesterol, total"
196,rs3846662,Chol,mean,0.001739,1.3630000000000002,"Cholesterol, total || LDL cholesterol","Cholesterol, total || LDL cholesterol || Quantitative traits (LDL-C) || Quantitative traits (TC) || Metabolite levels (LDL)",5,74651084.0,HMGCR,rs3846662,14502.0,11530.0,8.0,"Silent,Silent",0.4284,1.3630000000000002,0.001739,1.28,0.003922,1.794,0.0021609999999999997,0.9734,0.03185,1.943,0.004035,0.45,0.1605,1.02,0.5334,Lipids,CHOLESTEROL BLOOD,rs3846662,Chol,Hypercholesterolemia,"Cholesterol, total"
201,rs4939883,Chol,min,0.026160000000000003,-1.351,"HDL cholesterol || Lipid metabolism phenotypes (HDL-C.assay, fasting) || Lipid metabolism phenotypes (HDL.large, whole) || Lipid metabolism phenotypes (HDL-C.by.NMR, fasting) || Lipid metabolism phenotypes (APOA1.assay, whole) || Lipid metabolism phenotypes (HDL.large, fasting) || Cholesterol, total || Lipid metabolism phenotypes (APOA1.assay, fasting) || Lipid metabolism phenotypes (HDL-C.assay, whole) || Lipid metabolism phenotypes (HDL-C.by.NMR, whole)",,18,47167214.0,,rs4939883,14502.0,11530.0,8.0,,0.1681,-0.8088,0.1654,-0.6577,0.2685,-0.0003545,0.9996,-1.351,0.026160000000000003,-0.2465,0.7854,0.71,0.6565,0.98,0.6086,Lipids,CHOLESTEROL BLOOD,rs4939883,Chol,Hypercholesterolemia,"Cholesterol, total"
203,rs2304130,Chol,median,0.008532,-2.11,"Triglycerides || Sphingolipid levels (proportions) || LDL cholesterol || Cholesterol, total","Cholesterol, total || LDL cholesterol || Sphingolipid levels (proportions) || Triglycerides",19,19789528.0,ZNF101,rs2304130,14502.0,11530.0,8.0,Silent,0.08273,-2.041,0.009514,-2.11,0.008532,-2.104,0.04664,-1.568,0.05585,-2.667,0.028999999999999998,0.72,0.7528,1.02,0.7155,Lipids,CHOLESTEROL BLOOD,rs2304130,Chol,Hypercholesterolemia,"Cholesterol, total"
204,rs2075650,Chol,mean,3.805e-13,4.574,"Age-related macular degeneration (EA) || Alzheimer's disease || Cholesterol, total || AB1-42 (Normal) || Alzheimer's disease biomarkers (<1x10-6; p-tau181p/AB1-42, t-tau/AB1-42) || Age-related macular degeneration || Brain imaging || C-reactive protein || Cardiovascular disease risk factors (LDL) || Cognitive decline || Longevity || Cardiovascular disease risk factors (CRP) || Alzheimer's disease (late onset)","Alzheimer's disease || Alzheimer's disease biomarkers (<1x10-6; AB1-42) || HDL cholesterol || LDL cholesterol || Metabolic syndrome (TG) || C-reactive protein (AA women) || LDL cholesterol (AA) || AB1-42 (Normal) || Age-related macular degeneration || Age-related macular degeneration (EA) || Alzheimer's disease (late onset) || Alzheimer's disease biomarkers (<1x10-6; p-tau181p/AB1-42, t-tau/AB1-42) || Brain imaging NS || C-reactive protein || Cardiovascular disease risk factors (CRP) || Cardiovascular disease risk factors (LDL) || Cholesterol, total || Cognitive decline || Longevity || Alzheimer's disease biomarkers (Cortical Ab)",19,45395619.0,TOMM40,rs2075650,14502.0,11530.0,8.0,"Silent,Silent,Silent",0.1399,4.574,3.805e-13,4.501,2.403e-12,5.486000000000001,9.267000000000001e-11,3.8160000000000003,6.193e-09,6.1129999999999995,4.1469999999999997e-10,0.42,0.3994,1.02,0.6866,Lipids,CHOLESTEROL BLOOD,rs2075650,Chol,Hypercholesterolemia,"Cholesterol, total"
205,rs4971516,Chol,ever_high,0.04358,1.182,LDL cholesterol (total cholesterol) || LDL cholesterol (LDL),LDL cholesterol (LDL) || LDL cholesterol (total cholesterol) || Prostate cancer,2,20903015.0,C2orf43,rs4971516,14502.0,11530.0,8.0,Silent,0.03518,0.1837,0.8755,0.03758,0.9749,0.9045,0.5661,-0.09755,0.9364,0.2409,0.8947,3.78,0.0755,1.18,0.04358,Lipids,CHOLESTEROL BLOOD,rs4971516,Chol,Hypercholesterolemia,LDL cholesterol (total cholesterol)
206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rs7412,Chol,Hypercholesterolemia,Lipid traits (TC)
207,rs4420638,Chol,mean,1.109e-13,4.2,"Alzheimer's disease (age of onset) || Alzheimer's disease || C-reactive protein || LDL cholesterol || HDL cholesterol || Alzheimer's disease (late onset) || Quantitative traits (CRP) || Age-related macular degeneration || Cholesterol, total || Quantitative traits (TC) || Lipoprotein-associated phospholipase A2 activity and mass (activity) || Cognitive decline || Triglycerides (LDL) || Lipid traits (LDL-C) || Quantitative traits (TG) || Lipoprotein-associated phospholipase A2 activity and mass (Activity concentrations) || Longevity",,19,45422946.0,,rs4420638,14502.0,11530.0,8.0,,0.1801,4.2,1.109e-13,4.173,4.505e-13,5.0569999999999995,2.967e-11,3.5980000000000003,1.033e-09,5.422000000000001,6.785e-10,0.67,0.5913,1.06,0.1422,Lipids,CHOLESTEROL BLOOD,rs4420638,Chol,Hypercholesterolemia,Quantitative traits (TC)
208,rs3846663,Chol,mean,0.0013460000000000002,1.4269999999999998,LDL cholesterol || Quantitative traits (TC) || Quantitative traits (LDL-C),"Cholesterol, total || LDL cholesterol || Quantitative traits (LDL-C) || Quantitative traits (TC) || Metabolite levels (LDL)",5,74655726.0,HMGCR,rs3846663,14502.0,11530.0,8.0,"Silent,Silent",0.3763,1.4269999999999998,0.0013460000000000002,1.374,0.002464,1.5730000000000002,0.008556999999999999,0.9347,0.0439,2.106,0.002306,0.38,0.132,1.03,0.2726,Lipids,CHOLESTEROL BLOOD,rs3846663,Chol,Hypercholesterolemia,Quantitative traits (TC)
209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rs7895372,Chol,Hypercholesterolemia,Quantitative traits (TC)
210,rs17157663,Chol,median,0.1416,-0.7647,Quantitative traits (TC),,7,8998976.0,,rs17157663,14502.0,11530.0,8.0,,0.2281,-0.5389,0.2909,-0.7647,0.1416,-0.9127,0.1833,-0.06479,0.903,-0.5114,0.5187,0.77,0.6854,1.04,0.2705,Lipids,CHOLESTEROL BLOOD,rs17157663,Chol,Hypercholesterolemia,Quantitative traits (TC)
211,rs2075650,CRP,ever_high,0.04149,0.8968,"Age-related macular degeneration (EA) || Alzheimer's disease || Cholesterol, total || AB1-42 (Normal) || Alzheimer's disease biomarkers (<1x10-6; p-tau181p/AB1-42, t-tau/AB1-42) || Age-related macular degeneration || Brain imaging || C-reactive protein || Cardiovascular disease risk factors (LDL) || Cognitive decline || Longevity || Cardiovascular disease risk factors (CRP) || Alzheimer's disease (late onset)","Alzheimer's disease || Alzheimer's disease biomarkers (<1x10-6; AB1-42) || HDL cholesterol || LDL cholesterol || Metabolic syndrome (TG) || C-reactive protein (AA women) || LDL cholesterol (AA) || AB1-42 (Normal) || Age-related macular degeneration || Age-related macular degeneration (EA) || Alzheimer's disease (late onset) || Alzheimer's disease biomarkers (<1x10-6; p-tau181p/AB1-42, t-tau/AB1-42) || Brain imaging NS || C-reactive protein || Cardiovascular disease risk factors (CRP) || Cardiovascular disease risk factors (LDL) || Cholesterol, total || Cognitive decline || Longevity || Alzheimer's disease biomarkers (Cortical Ab)",19,45395619.0,TOMM40,rs2075650,6437.0,4143.0,11.0,"Silent,Silent,Silent",0.1399,-1.3880000000000001,0.3506,-1.6,0.2833,-0.6442,0.7286,-0.6517,0.6079,-2.164,0.3305,1.44,0.5136,0.9,0.04149,Misc,C-REACTIVE PROTEIN,rs2075650,CRP,Elevated C-reactive protein (CRP),C-reactive protein
212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rs16842559,CRP,Elevated C-reactive protein (CRP),C-reactive protein
213,rs1183910,CRP,max,0.3429,-1.5490000000000002,C-reactive protein,"N-glycan levels (DG11) || Cholesterol, total || Gamma gluatamyl transferase levels || LDL cholesterol || C-reactive protein || Urate levels (women) || C-reactive protein (HA women) || Coronary heart disease || C-reactive protein and white blood cell count (CRP) || Gamma glutamyl transpeptidase || Liver enzyme levels (gamma-glutamyl transferase) || C-reactive protein (AA women)",12,121420807.0,HNF1A,rs1183910,6437.0,4143.0,11.0,Silent,0.3166,-0.7041,0.519,-0.5321,0.627,0.4601,0.7358,-0.5261,0.5728,-1.5490000000000002,0.3429,1.5,0.3494,0.97,0.4957,Misc,C-REACTIVE PROTEIN,rs1183910,CRP,Elevated C-reactive protein (CRP),C-reactive protein
216,rs876537,CRP,first,0.0008035,-4.3839999999999995,C-reactive protein,,1,159674933.0,,rs876537,6437.0,4143.0,11.0,,0.3826,-2.924,0.005259000000000001,-2.657,0.011479999999999999,-4.3839999999999995,0.0008035,-2.39,0.0075840000000000005,-3.793,0.01553,1.33,0.5073,0.95,0.1811,Misc,C-REACTIVE PROTEIN,rs876537,CRP,Elevated C-reactive protein (CRP),C-reactive protein
217,rs7305618,CRP,ever_low,0.1337,0.3278,Type 2 diabetes || C-reactive protein,,12,121402932.0,,rs7305618,6437.0,4143.0,11.0,,0.23,-0.7228,0.5481,-0.5307,0.6602,-1.236,0.4107,0.04797,0.9628,-1.25,0.4874,0.33,0.1337,0.98,0.6311,Misc,C-REACTIVE PROTEIN,rs7305618,CRP,Elevated C-reactive protein (CRP),C-reactive protein
218,rs1408282,CRP,ever_low,0.04303,2.7960000000000003,C-reactive protein,,6,93852252.0,,rs1408282,6437.0,4143.0,11.0,,0.09504,-1.16,0.5037,-0.847,0.6265,-1.608,0.4579,-1.6269999999999998,0.2724,-1.518,0.5586,2.8,0.04303,0.96,0.5111,Misc,C-REACTIVE PROTEIN,rs1408282,CRP,Elevated C-reactive protein (CRP),C-reactive protein
219,rs2847281,CRP,ever_high,0.2978,1.04,C-reactive protein || Esophageal cancer (squamous cell),Celiac disease || Celiac disease and Rheumatoid arthritis || Crohn's disease || Inflammatory bowel disease || Type 1 diabetes || C-reactive protein || Esophageal cancer (squamous cell) || Rheumatoid arthritis,18,12821593.0,PTPN2,rs2847281,6437.0,4143.0,11.0,"Silent,Silent,Silent,Silent",0.3995,-0.07123,0.9455,-0.4311,0.6802,-0.1908,0.8835,-0.1617,0.8559,0.8281,0.5955,1.33,0.5065,1.04,0.2978,Misc,C-REACTIVE PROTEIN,rs2847281,CRP,Elevated C-reactive protein (CRP),C-reactive protein
220,rs6901250,CRP,first,0.2417,-1.604,C-reactive protein,C-reactive protein,6,117114025.0,GPRC6A,rs6901250,6437.0,4143.0,11.0,Synonymous_A687A,0.313,-1.2229999999999999,0.265,-0.8609,0.4339,-1.604,0.2417,-0.5573,0.552,-1.8940000000000001,0.2483,1.0,0.9938,0.97,0.5066,Misc,C-REACTIVE PROTEIN,rs6901250,CRP,Elevated C-reactive protein (CRP),C-reactive protein
221,rs4705952,CRP,ever_high,0.09913,0.9327,C-reactive protein,,5,131839618.0,,rs4705952,6437.0,4143.0,11.0,,0.2398,-1.307,0.2637,-1.4609999999999999,0.2127,-0.2457,0.8663,-0.4316,0.6656,-1.7369999999999999,0.3206,1.15,0.7659,0.93,0.09913,Misc,C-REACTIVE PROTEIN,rs4705952,CRP,Elevated C-reactive protein (CRP),C-reactive protein
222,rs2794520,CRP,first,0.08236,-2.373,"C-reactive protein || Metabolic traits (CRP) || Select biomarker traits (CRP average 2,6,7)",,1,159678816.0,,rs2794520,6437.0,4143.0,11.0,,0.3295,-1.8659999999999999,0.08811000000000001,-1.705,0.1202,-2.373,0.08236,-1.4869999999999999,0.1115,-2.189,0.18100000000000002,1.69,0.2244,0.95,0.2107,Misc,C-REACTIVE PROTEIN,rs2794520,CRP,Elevated C-reactive protein (CRP),C-reactive protein
223,rs4420638,CRP,ever_high,0.004608,0.8728,"Alzheimer's disease (age of onset) || Alzheimer's disease || C-reactive protein || LDL cholesterol || HDL cholesterol || Alzheimer's disease (late onset) || Quantitative traits (CRP) || Age-related macular degeneration || Cholesterol, total || Quantitative traits (TC) || Lipoprotein-associated phospholipase A2 activity and mass (activity) || Cognitive decline || Triglycerides (LDL) || Lipid traits (LDL-C) || Quantitative traits (TG) || Lipoprotein-associated phospholipase A2 activity and mass (Activity concentrations) || Longevity",,19,45422946.0,,rs4420638,6437.0,4143.0,11.0,,0.1801,-3.427,0.01035,-3.616,0.0069900000000000006,-3.468,0.0378,-1.7380000000000002,0.1278,-4.77,0.01703,0.75,0.6377,0.87,0.004608,Misc,C-REACTIVE PROTEIN,rs4420638,CRP,Elevated C-reactive protein (CRP),C-reactive protein
225,rs4420065,CRP,ever_high,0.307,1.04,C-reactive protein,,1,66161461.0,,rs4420065,6437.0,4143.0,11.0,,0.3758,0.3095,0.7697,0.5378,0.612,-0.4424,0.7375,0.5563,0.5379,-0.3206,0.8393,1.37,0.4672,1.04,0.307,Misc,C-REACTIVE PROTEIN,rs4420065,CRP,Elevated C-reactive protein (CRP),C-reactive protein
226,rs4129267,CRP,ever_high,0.016880000000000003,0.9137,Protein quantitative trait loci (sIL-6R) || Pulmonary function (ppFEF) || Fibrinogen (EA) || C-reactive protein || Asthma,Coronary heart disease || Asthma || C-reactive protein || Protein quantitative trait loci (sIL-6R) || Pulmonary function (ppFEF),1,154426264.0,IL6R,rs4129267,6437.0,4143.0,11.0,"Silent,Silent",0.4049,-0.8239,0.4289,-0.825,0.4296,-0.42700000000000005,0.7426,-0.7763,0.3829,-0.7761,0.6183,0.67,0.3924,0.91,0.016880000000000003,Misc,C-REACTIVE PROTEIN,rs4129267,CRP,Elevated C-reactive protein (CRP),C-reactive protein
228,rs12239046,CRP,first,0.08455,2.28,C-reactive protein,Fibrinogen || Word reading || C-reactive protein,1,247601595.0,NLRP3,rs12239046,6437.0,4143.0,11.0,"Silent,Silent,Silent,Silent,Silent,Silent",0.3682,0.8383,0.4285,0.8393,0.4294,2.28,0.08455,0.4307,0.6339,1.291,0.4151,0.5,0.1764,1.0,0.9155,Misc,C-REACTIVE PROTEIN,rs12239046,CRP,Elevated C-reactive protein (CRP),C-reactive protein
229,rs6734238,CRP,ever_high,0.3561,1.035,C-reactive protein || C-reactive protein (AA women) || Fibrinogen (EA),,2,113841030.0,,rs6734238,6437.0,4143.0,11.0,,0.4069,0.146,0.8881,-0.07787000000000001,0.9403,0.3812,0.7685,0.5391,0.5429,-0.3158,0.8387,1.21,0.657,1.04,0.3561,Misc,C-REACTIVE PROTEIN,rs6734238,CRP,Elevated C-reactive protein (CRP),C-reactive protein
230,rs9987289,CRP,ever_high,0.2061,1.087,"LDL cholesterol || HDL Cholesterol - Triglycerides (HDLC-TG) || C-reactive protein || HDL cholesterol || Metabolic syndrome (bivariate traits) (HDLC-WC) || Cholesterol, total","HDL cholesterol (AA) || HDL cholesterol || LDL cholesterol || Fasting glucose-related traits (interaction with BMI) || Fasting insulin-related traits (interaction with BMI) || Glycemic traits (pregnancy) (FCP) || Glycemic traits (pregnancy) (FPG) || Metabolite levels || Coronary heart disease (HDL-C) || C-reactive protein || Cholesterol, total || HDL Cholesterol - Triglycerides (HDLC-TG) || Metabolic syndrome (bivariate traits) (HDLC-WC)",8,9183358.0,LOC157273,rs9987289,6437.0,4143.0,11.0,Silent,0.08944,-1.248,0.488,-0.9895,0.5835,0.6198,0.7827,-0.8632,0.5744,-2.131,0.4285,1.02,0.9785,1.09,0.2061,Misc,C-REACTIVE PROTEIN,rs9987289,CRP,Elevated C-reactive protein (CRP),C-reactive protein
231,rs10745954,CRP,first,0.2013,-1.6159999999999999,C-reactive protein,,12,103483094.0,,rs10745954,6437.0,4143.0,11.0,,0.487,-0.4997,0.6218,-0.6239,0.5392,-1.6159999999999999,0.2013,-0.2133,0.8053,-0.7602,0.6159,1.5,0.348,0.99,0.8628,Misc,C-REACTIVE PROTEIN,rs10745954,CRP,Elevated C-reactive protein (CRP),C-reactive protein
233,rs340029,CRP,min,0.0626,-1.6740000000000002,C-reactive protein,Liver enzyme levels (gamma-glutamyl transferase) || Menarche (age at onset) (African American) || Gamma gluatamyl transferase levels || C-reactive protein || Response to citalopram treatment (response) || Pulmonary function decline (FEV1 decline in asthmatics) || Menarche (age at onset) || Total ventricular volume || Schizophrenia (Negative/disorganized symptoms) || Asthma || Subcutaneous adipose tissue (women) || Depression (quantitative trait),15,60894965.0,RORA,rs340029,6437.0,4143.0,11.0,"Silent,Silent,Silent",0.3797,-1.385,0.1881,-1.324,0.2096,-2.029,0.1226,-1.6740000000000002,0.0626,-1.1420000000000001,0.4682,1.12,0.7962,1.01,0.8184,Misc,C-REACTIVE PROTEIN,rs340029,CRP,Elevated C-reactive protein (CRP),C-reactive protein
234,rs10521222,CRP,ever_low,0.07293,3.048,C-reactive protein,,16,51158710.0,,rs10521222,6437.0,4143.0,11.0,,0.04749,-3.0269999999999997,0.2015,-3.425,0.1495,-2.7460000000000004,0.3533,-2.226,0.2714,-2.7969999999999997,0.4301,3.05,0.07293,0.99,0.8825,Misc,C-REACTIVE PROTEIN,rs10521222,CRP,Elevated C-reactive protein (CRP),C-reactive protein
236,rs13233571,CRP,ever_high,0.2418,0.9371,C-reactive protein,C-reactive protein,7,72971231.0,BCL7B,rs13233571,6437.0,4143.0,11.0,"Silent,Silent,Silent",0.1221,-0.04641,0.9759,-0.1546,0.9201,-0.126,0.9477,-0.3733,0.7762,-0.3166,0.8905,1.12,0.8503,0.94,0.2418,Misc,C-REACTIVE PROTEIN,rs13233571,CRP,Elevated C-reactive protein (CRP),C-reactive protein
237,rs2836878,CRP,min,0.2216,1.197,C-reactive protein || Inflammatory bowel disease || Ulcerative colitis,,21,40465534.0,,rs2836878,6437.0,4143.0,11.0,,0.275,1.021,0.3733,1.046,0.3632,0.14,0.9221,1.197,0.2216,0.4779,0.7806,0.78,0.6277,0.96,0.3026,Misc,C-REACTIVE PROTEIN,rs2836878,CRP,Elevated C-reactive protein (CRP),C-reactive protein
238,rs4903031,CRP,first,0.2538,-1.7790000000000001,C-reactive protein,Obesity (extreme) || Economic and political preferences (environmentalism) || C-reactive protein || Smoking cessation,14,73019236.0,RGS6,rs4903031,6437.0,4143.0,11.0,"Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent",0.2085,-0.9917,0.4271,-0.9453,0.4504,-1.7790000000000001,0.2538,-0.5665,0.5954,-1.4909999999999999,0.4248,1.44,0.4476,1.01,0.904,Misc,C-REACTIVE PROTEIN,rs4903031,CRP,Elevated C-reactive protein (CRP),C-reactive protein
239,rs3093059,CRP,first,0.4449,-2.043,C-reactive protein,,1,159685136.0,,rs3093059,6437.0,4143.0,11.0,,0.05749,0.2478,0.9079,0.6492,0.7625,-2.043,0.4449,0.4392,0.8103,-0.9872,0.758,0.0,0.9862,0.97,0.7424,Misc,C-REACTIVE PROTEIN,rs3093059,CRP,Elevated C-reactive protein (CRP),C-reactive protein
241,rs7310409,CRP,ever_low,0.1268,1.915,C-reactive protein || Liver enzyme levels (gamma-glutamyl transferase),"N-glycan levels (DG11) || Cholesterol, total || Gamma gluatamyl transferase levels || LDL cholesterol || C-reactive protein || Urate levels (women) || C-reactive protein (HA women) || Coronary heart disease || C-reactive protein and white blood cell count (CRP) || Gamma glutamyl transpeptidase || Liver enzyme levels (gamma-glutamyl transferase) || C-reactive protein (AA women)",12,121424861.0,HNF1A,rs7310409,6437.0,4143.0,11.0,Silent,0.3873,-0.6491,0.5335,-0.6118,0.5585,-0.1599,0.9022,-0.7181,0.42,-1.044,0.5031,1.92,0.1268,0.97,0.4195,Misc,C-REACTIVE PROTEIN,rs7310409,CRP,Elevated C-reactive protein (CRP),C-reactive protein
243,rs6700896,CRP,ever_high,0.3058,1.04,C-reactive protein,Soluble leptin receptor levels (Nurses Health Study) || C-reactive protein (HA women) || C-reactive protein || Obesity (early onset extreme),1,66089782.0,LEPR,rs6700896,6437.0,4143.0,11.0,"Silent,Silent,Silent,Silent,Silent,Silent",0.3818,0.609,0.5646,0.6747,0.5247,-0.1743,0.895,0.6359,0.4814,0.5481,0.7289,1.33,0.5061,1.04,0.3058,Misc,C-REACTIVE PROTEIN,rs6700896,CRP,Elevated C-reactive protein (CRP),C-reactive protein
244,rs4537545,CRP,ever_high,0.01969,0.9159,C-reactive protein,Coronary heart disease || Asthma || C-reactive protein || Protein quantitative trait loci (sIL-6R) || Pulmonary function (ppFEF),1,154418879.0,IL6R,rs4537545,6437.0,4143.0,11.0,"Silent,Silent",0.4171,-0.6784,0.5136,-0.6931,0.5058,-0.2464,0.8493,-0.6158,0.4876,-0.7058,0.6495,0.64,0.3294,0.92,0.01969,Misc,C-REACTIVE PROTEIN,rs4537545,CRP,Elevated C-reactive protein (CRP),C-reactive protein
245,rs7553007,CRP,min,0.1235,-1.442,C-reactive protein (AA women) || C-reactive protein || C-reactive protein (HA women),,1,159698549.0,,rs7553007,6437.0,4143.0,11.0,,0.3283,-1.682,0.1248,-1.551,0.1581,-1.9869999999999999,0.1464,-1.442,0.1235,-1.788,0.2753,1.7,0.221,0.96,0.3358,Misc,C-REACTIVE PROTEIN,rs7553007,CRP,Elevated C-reactive protein (CRP),C-reactive protein
250,rs11265260,CRP,first,0.2495,-3.109,C-reactive protein,,1,159700039.0,,rs11265260,6437.0,4143.0,11.0,,0.05659,-0.32299999999999995,0.8813,0.09376,0.9655,-3.109,0.2495,0.2622,0.8871,-1.931,0.5505,0.0,0.9863,0.95,0.5131,Misc,C-REACTIVE PROTEIN,rs11265260,CRP,Elevated C-reactive protein (CRP),C-reactive protein
251,rs1892534,CRP,min,0.3834,0.7848,C-reactive protein,,1,66105944.0,,rs1892534,6437.0,4143.0,11.0,,0.38,0.5904,0.5754,0.7833,0.4588,-0.2827,0.8299,0.7848,0.3834,0.1119,0.9434,1.34,0.4981,1.03,0.4229,Misc,C-REACTIVE PROTEIN,rs1892534,CRP,Elevated C-reactive protein (CRP),C-reactive protein
253,rs780094,CRP,ever_high,0.2379,0.9563,Fasting insulin-related traits (interaction with BMI) || Fasting glucose-related traits (FPG) || Triglycerides (Hispanic) || Uric acid levels || LDL cholesterol || Fasting insulin-related traits (HOMA-IR) || Fasting glucose-related traits (HOMA-IR) || Fasting glucose-related traits (interaction with BMI) || C-reactive protein || Urate levels || Fasting insulin-related traits (FI) || Calcium levels || Metabolic traits (glucose/mannose + 54 other traits) || Triglycerides || Metabolic syndrome (TG) || Fasting glucose-related traits (FI) || Phospholipid levels (plasma) (DPA),Metabolite levels (ALB) || Triglycerides || Breast size || Calcium levels || Crohn's disease || Palmitic acid (16:0) plasma levels || Palmitoleic acid (16:1n-7) plasma levels || Sex hormone-binding globulin levels (Men + Women) || Sex hormone-binding globulin levels (Men) || Sex hormone-binding globulin levels (Women) || Triglycerides-Blood Pressure (TG-BP) || Urate levels (Urate) || Waist Circumference - Triglycerides (WC-TG) || C-reactive protein || Fasting glucose-related traits (FI) || Fasting glucose-related traits (FPG) || Fasting glucose-related traits (HOMA-IR) || Fasting glucose-related traits (interaction with BMI) || Fasting insulin-related traits (FI) || Fasting insulin-related traits (HOMA-IR) || Fasting insulin-related traits (interaction with BMI) || LDL cholesterol || Metabolic syndrome (TG) || Metabolic traits (glucose/mannose + 54 other traits) || Phospholipid levels (plasma) (DPA) || Triglycerides (Hispanic) || Urate levels || Uric acid levels || Cardiovascular disease risk factors (TRIG) |,2,27741237.0,GCKR,rs780094,6437.0,4143.0,11.0,Silent,0.3937,0.2497,0.8112,0.2569,0.8064,-0.4657,0.7212,-0.491,0.5824,0.655,0.6751,1.06,0.8966,0.96,0.2379,Misc,C-REACTIVE PROTEIN,rs780094,CRP,Elevated C-reactive protein (CRP),C-reactive protein
254,rs10778213,CRP,first,0.1312,-1.911,C-reactive protein,,12,103495151.0,,rs10778213,6437.0,4143.0,11.0,,0.4771,-0.6808,0.5018,-0.7009,0.4906,-1.911,0.1312,-0.3828,0.6585,-1.014,0.5037,1.56,0.3064,1.0,0.9156,Misc,C-REACTIVE PROTEIN,rs10778213,CRP,Elevated C-reactive protein (CRP),C-reactive protein
257,rs769449,CRP,ever_high,0.01045,0.8624,Alzheimer's disease biomarkers (tau) || Alzheimer's disease biomarkers (ptau) || C-reactive protein,"LDL cholesterol || Lipid metabolism phenotypes (L-LDL-FC) || Response to statin therapy (LDL-C) (baseline LDL-C) || Alzheimer's disease biomarkers (<1x10-6; AB1-42, p-tau181p, p-tau181p/AB1-42, t-tau/AB1-42) || Alzheimer's disease biomarkers (Cortical Ab) || Brain imaging NS || Alzheimer's disease biomarkers (ptau) || Alzheimer's disease biomarkers (tau) || C-reactive protein",19,45410002.0,APOE,rs769449,6437.0,4143.0,11.0,Silent,0.1172,-3.515,0.029560000000000003,-3.6439999999999997,0.02454,-3.406,0.09118,-1.895,0.1698,-5.295,0.028339999999999997,1.77,0.2997,0.86,0.01045,Misc,C-REACTIVE PROTEIN,rs769449,CRP,Elevated C-reactive protein (CRP),C-reactive protein
258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rs7748513,CRP,Elevated C-reactive protein (CRP),C-reactive protein (AA women)
260,rs6734238,CRP,ever_high,0.3561,1.035,C-reactive protein || C-reactive protein (AA women) || Fibrinogen (EA),,2,113841030.0,,rs6734238,6437.0,4143.0,11.0,,0.4069,0.146,0.8881,-0.07787000000000001,0.9403,0.3812,0.7685,0.5391,0.5429,-0.3158,0.8387,1.21,0.657,1.04,0.3561,Misc,C-REACTIVE PROTEIN,rs6734238,CRP,Elevated C-reactive protein (CRP),C-reactive protein (AA women)
263,rs7553007,CRP,min,0.1235,-1.442,C-reactive protein (AA women) || C-reactive protein || C-reactive protein (HA women),,1,159698549.0,,rs7553007,6437.0,4143.0,11.0,,0.3283,-1.682,0.1248,-1.551,0.1581,-1.9869999999999999,0.1464,-1.442,0.1235,-1.788,0.2753,1.7,0.221,0.96,0.3358,Misc,C-REACTIVE PROTEIN,rs7553007,CRP,Elevated C-reactive protein (CRP),C-reactive protein (AA women)
265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rs1805096,CRP,Elevated C-reactive protein (CRP),C-reactive protein (HA women)
