"Chr","Chr_pos","SNP","jd_code","PUBMEDID","Disease_Trait","Reported_Gene","Mapped_gene","p_value","OR_or_beta_text","CI_95","Context","Risk_Allele_Frequency","Initial_Sample_Size","SNP","jd_code","jd_string","cases","controls","odds_ratio","P","CHR","BP","gene","rsID","Mutation","MAF_W","PHRED","catalog_assoc_SNP","catalog_assoc_gene","RawScore","Category","Category_string"
19,11202306,"rs6511720",272.11,24097068,"Cholesterol, total","LDLR","LDLR",5E-202,.19,"[NR] unit decrease","intron",0.12,"94,595 Euroepan ancestry individuals","rs6511720",272.11,"Hypercholesterolemia",3822,18595,0.88,0.003377,19,11202306,"LDLR","rs6511720","Silent,Silent,Silent,Silent,Silent,Silent",0.12110000,4.7420,"Cholesterol, total || LDL cholesterol || Carotid intima media thickness (Plaque) || Lipid metabolism phenotypes (APOB.assay, fasting) || Lipid metabolism phenotypes (LDL-C.assay, whole) || Cardiovascular disease risk factors (LDL) || Metabolite levels || Lipoprotein-associated phospholipase A2 activity and mass (Activity concentrations) || Lipid metabolism phenotypes (APOB.assay, whole) || Abdominal aortic aneurysm || Lipid metabolism phenotypes (LDL-C.assay, fasting)","Cholesterol, total || LDL cholesterol || Metabolite levels (LDL) || Cardiovascular disease risk factors (LDL) || Carotid intima media thickness (Plaque) || Lipid metabolism phenotypes (APOB.assay, fasting) || Lipid metabolism phenotypes (APOB.assay, whole) || Lipid metabolism phenotypes (LDL-C.assay, fasting) || Lipid metabolism phenotypes (LDL-C.assay, whole) || Lipoprotein-associated phospholipase A2 activity and mass (Activity concentrations) || Metabolite levels || LDL cholesterol (AA)",0.138050,3,"endocrine/metabolic"
19,11202306,"rs6511720",272.11,20686565,"Cholesterol, total","LDLR","LDLR",7E-97,7.09,"[6.42-7.76] mg/dL decrease","intron",0.11,"Up to 100,184 European descent individuals","rs6511720",272.11,"Hypercholesterolemia",3822,18595,0.88,0.003377,19,11202306,"LDLR","rs6511720","Silent,Silent,Silent,Silent,Silent,Silent",0.12110000,4.7420,"Cholesterol, total || LDL cholesterol || Carotid intima media thickness (Plaque) || Lipid metabolism phenotypes (APOB.assay, fasting) || Lipid metabolism phenotypes (LDL-C.assay, whole) || Cardiovascular disease risk factors (LDL) || Metabolite levels || Lipoprotein-associated phospholipase A2 activity and mass (Activity concentrations) || Lipid metabolism phenotypes (APOB.assay, whole) || Abdominal aortic aneurysm || Lipid metabolism phenotypes (LDL-C.assay, fasting)","Cholesterol, total || LDL cholesterol || Metabolite levels (LDL) || Cardiovascular disease risk factors (LDL) || Carotid intima media thickness (Plaque) || Lipid metabolism phenotypes (APOB.assay, fasting) || Lipid metabolism phenotypes (APOB.assay, whole) || Lipid metabolism phenotypes (LDL-C.assay, fasting) || Lipid metabolism phenotypes (LDL-C.assay, whole) || Lipoprotein-associated phospholipase A2 activity and mass (Activity concentrations) || Metabolite levels || LDL cholesterol (AA)",0.138050,3,"endocrine/metabolic"
19,11202306,"rs6511720",272.11,24097068,"LDL cholesterol","LDLR","LDLR",4E-262,.22,"[NR] unit decrease","intron",0.12,"94,595 European ancestry individuals","rs6511720",272.11,"Hypercholesterolemia",3822,18595,0.88,0.003377,19,11202306,"LDLR","rs6511720","Silent,Silent,Silent,Silent,Silent,Silent",0.12110000,4.7420,"Cholesterol, total || LDL cholesterol || Carotid intima media thickness (Plaque) || Lipid metabolism phenotypes (APOB.assay, fasting) || Lipid metabolism phenotypes (LDL-C.assay, whole) || Cardiovascular disease risk factors (LDL) || Metabolite levels || Lipoprotein-associated phospholipase A2 activity and mass (Activity concentrations) || Lipid metabolism phenotypes (APOB.assay, whole) || Abdominal aortic aneurysm || Lipid metabolism phenotypes (LDL-C.assay, fasting)","Cholesterol, total || LDL cholesterol || Metabolite levels (LDL) || Cardiovascular disease risk factors (LDL) || Carotid intima media thickness (Plaque) || Lipid metabolism phenotypes (APOB.assay, fasting) || Lipid metabolism phenotypes (APOB.assay, whole) || Lipid metabolism phenotypes (LDL-C.assay, fasting) || Lipid metabolism phenotypes (LDL-C.assay, whole) || Lipoprotein-associated phospholipase A2 activity and mass (Activity concentrations) || Metabolite levels || LDL cholesterol (AA)",0.138050,3,"endocrine/metabolic"
19,11202306,"rs6511720",272.11,20686565,"LDL cholesterol","LDLR","LDLR",4E-117,6.99,"[6.4-7.58] mg/dL decrease","intron",0.11,"Up to 95,454 European descent individuals","rs6511720",272.11,"Hypercholesterolemia",3822,18595,0.88,0.003377,19,11202306,"LDLR","rs6511720","Silent,Silent,Silent,Silent,Silent,Silent",0.12110000,4.7420,"Cholesterol, total || LDL cholesterol || Carotid intima media thickness (Plaque) || Lipid metabolism phenotypes (APOB.assay, fasting) || Lipid metabolism phenotypes (LDL-C.assay, whole) || Cardiovascular disease risk factors (LDL) || Metabolite levels || Lipoprotein-associated phospholipase A2 activity and mass (Activity concentrations) || Lipid metabolism phenotypes (APOB.assay, whole) || Abdominal aortic aneurysm || Lipid metabolism phenotypes (LDL-C.assay, fasting)","Cholesterol, total || LDL cholesterol || Metabolite levels (LDL) || Cardiovascular disease risk factors (LDL) || Carotid intima media thickness (Plaque) || Lipid metabolism phenotypes (APOB.assay, fasting) || Lipid metabolism phenotypes (APOB.assay, whole) || Lipid metabolism phenotypes (LDL-C.assay, fasting) || Lipid metabolism phenotypes (LDL-C.assay, whole) || Lipoprotein-associated phospholipase A2 activity and mass (Activity concentrations) || Metabolite levels || LDL cholesterol (AA)",0.138050,3,"endocrine/metabolic"
19,11202306,"rs6511720",272.11,19060906,"LDL cholesterol","LDLR","LDLR",2E-26,.26,"[0.18-0.34] s.d. increase","intron",0.10,"19,840 individuals","rs6511720",272.11,"Hypercholesterolemia",3822,18595,0.88,0.003377,19,11202306,"LDLR","rs6511720","Silent,Silent,Silent,Silent,Silent,Silent",0.12110000,4.7420,"Cholesterol, total || LDL cholesterol || Carotid intima media thickness (Plaque) || Lipid metabolism phenotypes (APOB.assay, fasting) || Lipid metabolism phenotypes (LDL-C.assay, whole) || Cardiovascular disease risk factors (LDL) || Metabolite levels || Lipoprotein-associated phospholipase A2 activity and mass (Activity concentrations) || Lipid metabolism phenotypes (APOB.assay, whole) || Abdominal aortic aneurysm || Lipid metabolism phenotypes (LDL-C.assay, fasting)","Cholesterol, total || LDL cholesterol || Metabolite levels (LDL) || Cardiovascular disease risk factors (LDL) || Carotid intima media thickness (Plaque) || Lipid metabolism phenotypes (APOB.assay, fasting) || Lipid metabolism phenotypes (APOB.assay, whole) || Lipid metabolism phenotypes (LDL-C.assay, fasting) || Lipid metabolism phenotypes (LDL-C.assay, whole) || Lipoprotein-associated phospholipase A2 activity and mass (Activity concentrations) || Metabolite levels || LDL cholesterol (AA)",0.138050,3,"endocrine/metabolic"
19,11202306,"rs6511720",272.11,18193044,"LDL cholesterol","LDLR","LDLR",2E-51,.26,"[0.22-0.30] % SD lower","intron",0.10,"2,758 individuals","rs6511720",272.11,"Hypercholesterolemia",3822,18595,0.88,0.003377,19,11202306,"LDLR","rs6511720","Silent,Silent,Silent,Silent,Silent,Silent",0.12110000,4.7420,"Cholesterol, total || LDL cholesterol || Carotid intima media thickness (Plaque) || Lipid metabolism phenotypes (APOB.assay, fasting) || Lipid metabolism phenotypes (LDL-C.assay, whole) || Cardiovascular disease risk factors (LDL) || Metabolite levels || Lipoprotein-associated phospholipase A2 activity and mass (Activity concentrations) || Lipid metabolism phenotypes (APOB.assay, whole) || Abdominal aortic aneurysm || Lipid metabolism phenotypes (LDL-C.assay, fasting)","Cholesterol, total || LDL cholesterol || Metabolite levels (LDL) || Cardiovascular disease risk factors (LDL) || Carotid intima media thickness (Plaque) || Lipid metabolism phenotypes (APOB.assay, fasting) || Lipid metabolism phenotypes (APOB.assay, whole) || Lipid metabolism phenotypes (LDL-C.assay, fasting) || Lipid metabolism phenotypes (LDL-C.assay, whole) || Lipoprotein-associated phospholipase A2 activity and mass (Activity concentrations) || Metabolite levels || LDL cholesterol (AA)",0.138050,3,"endocrine/metabolic"
19,11202306,"rs6511720",272.11,18193043,"LDL cholesterol","LDLR","LDLR",4E-26,9.17,"[NR] mg/dl higher","intron",0.90,"8,589 individuals","rs6511720",272.11,"Hypercholesterolemia",3822,18595,0.88,0.003377,19,11202306,"LDLR","rs6511720","Silent,Silent,Silent,Silent,Silent,Silent",0.12110000,4.7420,"Cholesterol, total || LDL cholesterol || Carotid intima media thickness (Plaque) || Lipid metabolism phenotypes (APOB.assay, fasting) || Lipid metabolism phenotypes (LDL-C.assay, whole) || Cardiovascular disease risk factors (LDL) || Metabolite levels || Lipoprotein-associated phospholipase A2 activity and mass (Activity concentrations) || Lipid metabolism phenotypes (APOB.assay, whole) || Abdominal aortic aneurysm || Lipid metabolism phenotypes (LDL-C.assay, fasting)","Cholesterol, total || LDL cholesterol || Metabolite levels (LDL) || Cardiovascular disease risk factors (LDL) || Carotid intima media thickness (Plaque) || Lipid metabolism phenotypes (APOB.assay, fasting) || Lipid metabolism phenotypes (APOB.assay, whole) || Lipid metabolism phenotypes (LDL-C.assay, fasting) || Lipid metabolism phenotypes (LDL-C.assay, whole) || Lipoprotein-associated phospholipase A2 activity and mass (Activity concentrations) || Metabolite levels || LDL cholesterol (AA)",0.138050,3,"endocrine/metabolic"
1,63025942,"rs2131925",272.11,24097068,"Cholesterol, total","ANGPTL3","DOCK7",4E-80,.08,"[NR] unit decrease","intron",0.34,"94,595 Euroepan ancestry individuals","rs2131925",272.11,"Hypercholesterolemia",3822,18595,0.89,0.00003659,1,63025942,"DOCK7","rs2131925","Silent",0.34000000,0.2030,"Cholesterol, total || Triglycerides || LDL cholesterol","Lipid metabolism phenotypes (VLDL.small, fasting) || Triglycerides || Lipid metabolism phenotypes (MobCH) || Cholesterol, total || LDL cholesterol || Metabolite levels || Lipid metabolism phenotypes (TG.by.NMR, fasting) || Lipid metabolism phenotypes (TG.by.NMR, whole) || Lipid metabolism phenotypes (VLDL.medium, fasting) || Lipid metabolism phenotypes (VLDL.small, whole) || Lipid metabolism phenotypes (VLDL.total, fasting) || Lipid metabolism phenotypes (VLDL.total, whole)",-1.043073,3,"endocrine/metabolic"
3,32533010,"rs7640978",272.11,24097068,"Cholesterol, total","CMTM6","CMTM6",2E-8,.04,"[NR] unit decrease","intron",0.09,"94,595 Euroepan ancestry individuals","rs7640978",272.11,"Hypercholesterolemia",3822,18595,0.89,0.01479,3,32533010,"CMTM6","rs7640978","Silent",0.08951000,6.5610,"LDL cholesterol || Cholesterol, total",NULL,0.471846,3,"endocrine/metabolic"
1,63025942,"rs2131925",272.11,20686565,"Cholesterol, total","ANGPTL3,DOCK7","DOCK7",5E-41,2.60,"[2.21-2.99] mg/dL decrease","intron",0.32,"Up to 100,184 European descent individuals","rs2131925",272.11,"Hypercholesterolemia",3822,18595,0.89,0.00003659,1,63025942,"DOCK7","rs2131925","Silent",0.34000000,0.2030,"Cholesterol, total || Triglycerides || LDL cholesterol","Lipid metabolism phenotypes (VLDL.small, fasting) || Triglycerides || Lipid metabolism phenotypes (MobCH) || Cholesterol, total || LDL cholesterol || Metabolite levels || Lipid metabolism phenotypes (TG.by.NMR, fasting) || Lipid metabolism phenotypes (TG.by.NMR, whole) || Lipid metabolism phenotypes (VLDL.medium, fasting) || Lipid metabolism phenotypes (VLDL.small, whole) || Lipid metabolism phenotypes (VLDL.total, fasting) || Lipid metabolism phenotypes (VLDL.total, whole)",-1.043073,3,"endocrine/metabolic"
1,63118196,"rs10889353",272.11,19060911,"Cholesterol, total","DOCK7","DOCK7",4E-12,.08,"[NR] s.d. decrease","intron",0.32,"22,562 individuals","rs10889353",272.11,"Hypercholesterolemia",3822,18595,0.89,0.0000331,1,63118196,"DOCK7","rs10889353","Silent",0.33790000,8.7870,"Lipid metabolism phenotypes (TG.by.NMR, whole) || LDL cholesterol || Lipid metabolism phenotypes (VLDL.medium, fasting) || Lipid metabolism phenotypes (VLDL.total, whole) || Triglycerides || Lipid metabolism phenotypes (TG.by.NMR, fasting) || Lipid metabolism phenotypes (VLDL.total, fasting) || Cholesterol, total || Lipid metabolism phenotypes (VLDL.small, whole)","Lipid metabolism phenotypes (VLDL.small, fasting) || Triglycerides || Lipid metabolism phenotypes (MobCH) || Cholesterol, total || LDL cholesterol || Metabolite levels || Lipid metabolism phenotypes (TG.by.NMR, fasting) || Lipid metabolism phenotypes (TG.by.NMR, whole) || Lipid metabolism phenotypes (VLDL.medium, fasting) || Lipid metabolism phenotypes (VLDL.small, whole) || Lipid metabolism phenotypes (VLDL.total, fasting) || Lipid metabolism phenotypes (VLDL.total, whole)",0.929644,3,"endocrine/metabolic"
6,25870542,"rs1165205",274.1,18834626,"Urate levels","SLC17A3","SLC17A3",4E-29,.09,"[0.07-0.11] SD decrease in serum uric acid level","intron",0.47,"11,847 individuals","rs1165205",274.1,"Gout",1059,28012,0.89,0.01426,6,25870542,"SLC17A3","rs1165205","Silent,Silent",0.46350000,4.6010,"Urate levels (whites)","Homocysteine levels || Urate levels (whites)",0.111605,3,"endocrine/metabolic"
1,63025942,"rs2131925",272.11,24097068,"LDL cholesterol","ANGPTL3","DOCK7",3E-32,.05,"[NR] unit decrease","intron",0.34,"94,595 European ancestry individuals","rs2131925",272.11,"Hypercholesterolemia",3822,18595,0.89,0.00003659,1,63025942,"DOCK7","rs2131925","Silent",0.34000000,0.2030,"Cholesterol, total || Triglycerides || LDL cholesterol","Lipid metabolism phenotypes (VLDL.small, fasting) || Triglycerides || Lipid metabolism phenotypes (MobCH) || Cholesterol, total || LDL cholesterol || Metabolite levels || Lipid metabolism phenotypes (TG.by.NMR, fasting) || Lipid metabolism phenotypes (TG.by.NMR, whole) || Lipid metabolism phenotypes (VLDL.medium, fasting) || Lipid metabolism phenotypes (VLDL.small, whole) || Lipid metabolism phenotypes (VLDL.total, fasting) || Lipid metabolism phenotypes (VLDL.total, whole)",-1.043073,3,"endocrine/metabolic"
3,32533010,"rs7640978",272.11,24097068,"LDL cholesterol","CMTM6","CMTM6",1E-8,.04,"[NR] unit decrease","intron",0.09,"94,595 European ancestry individuals","rs7640978",272.11,"Hypercholesterolemia",3822,18595,0.89,0.01479,3,32533010,"CMTM6","rs7640978","Silent",0.08951000,6.5610,"LDL cholesterol || Cholesterol, total",NULL,0.471846,3,"endocrine/metabolic"
1,63025942,"rs2131925",272.11,20686565,"LDL cholesterol","ANGPTL3,DOCK7","DOCK7",3E-18,1.59,"[1.22-1.96] mg/dL decrease","intron",0.32,"Up to 95,454 European descent individuals","rs2131925",272.11,"Hypercholesterolemia",3822,18595,0.89,0.00003659,1,63025942,"DOCK7","rs2131925","Silent",0.34000000,0.2030,"Cholesterol, total || Triglycerides || LDL cholesterol","Lipid metabolism phenotypes (VLDL.small, fasting) || Triglycerides || Lipid metabolism phenotypes (MobCH) || Cholesterol, total || LDL cholesterol || Metabolite levels || Lipid metabolism phenotypes (TG.by.NMR, fasting) || Lipid metabolism phenotypes (TG.by.NMR, whole) || Lipid metabolism phenotypes (VLDL.medium, fasting) || Lipid metabolism phenotypes (VLDL.small, whole) || Lipid metabolism phenotypes (VLDL.total, fasting) || Lipid metabolism phenotypes (VLDL.total, whole)",-1.043073,3,"endocrine/metabolic"
2,21288321,"rs562338",272.11,18262040,"LDL cholesterol","APOB","APOB - KLHL29",1E-9,.04,"[0.02-0.06] mmol/L decrease","Intergenic",0.20,"11,685 individuals","rs562338",272.11,"Hypercholesterolemia",3822,18595,0.89,0.001527,2,21288321,"","rs562338","",0.18080000,1.3260,"LDL cholesterol",NULL,-0.598153,3,"endocrine/metabolic"
19,19658472,"rs16996148",272.11,18193044,"LDL cholesterol","CILP2, PBX4","CILP2 - PHF5CP",3E-8,.10,"[0.06-0.14] % SD lower","Intergenic",0.10,"2,758 individuals","rs16996148",272.11,"Hypercholesterolemia",3822,18595,0.89,0.02039,19,19658472,"","rs16996148","",0.08226000,2.4370,"LDL cholesterol || Triglycerides",NULL,-0.329568,3,"endocrine/metabolic"
2,21288321,"rs562338",272.11,18193043,"LDL cholesterol","APOB","APOB - KLHL29",6E-22,4.89,"[NR] mg/dl higher","Intergenic",0.82,"8,589 individuals","rs562338",272.11,"Hypercholesterolemia",3822,18595,0.89,0.001527,2,21288321,"","rs562338","",0.18080000,1.3260,"LDL cholesterol",NULL,-0.598153,3,"endocrine/metabolic"
19,19658472,"rs16996148",272.11,18193043,"LDL cholesterol","NCAN,CILP2","CILP2 - PHF5CP",3E-9,3.32,"[NR] mg/dl higher","Intergenic",0.89,"8,589 individuals","rs16996148",272.11,"Hypercholesterolemia",3822,18595,0.89,0.02039,19,19658472,"","rs16996148","",0.08226000,2.4370,"LDL cholesterol || Triglycerides",NULL,-0.329568,3,"endocrine/metabolic"
1,93009438,"rs7515577",272.11,24097068,"Cholesterol, total","EVI5","EVI5",2E-8,.04,"[NR] unit decrease","intron",0.23,"94,595 Euroepan ancestry individuals","rs7515577",272.11,"Hypercholesterolemia",3822,18595,0.90,0.001913,1,93009438,"EVI5","rs7515577","Silent",0.20830000,1.2320,"Cholesterol, total","Cholesterol, total || Multiple sclerosis",-0.623899,3,"endocrine/metabolic"
8,126490972,"rs2954029",272.11,24097068,"Cholesterol, total","TRIB1","TRIB1 - LINC00861",2E-65,.06,"[NR] unit decrease","Intergenic",0.47,"94,595 Euroepan ancestry individuals","rs2954029",272.11,"Hypercholesterolemia",3822,18595,0.90,0.00007905,8,126490972,"","rs2954029","",0.45150000,9.3650,"LDL cholesterol || Triglycerides || Cholesterol, total || HDL cholesterol",NULL,1.069111,3,"endocrine/metabolic"
8,126490972,"rs2954029",272.11,20686565,"Cholesterol, total","TRIB1","TRIB1 - LINC00861",5E-36,2.30,"[1.93-2.67] mg/dL decrease","Intergenic",0.46,"Up to 100,184 European descent individuals","rs2954029",272.11,"Hypercholesterolemia",3822,18595,0.90,0.00007905,8,126490972,"","rs2954029","",0.45150000,9.3650,"LDL cholesterol || Triglycerides || Cholesterol, total || HDL cholesterol",NULL,1.069111,3,"endocrine/metabolic"
1,93009438,"rs7515577",272.11,20686565,"Cholesterol, total","GVI1,EVI5","EVI5",3E-8,1.18,"[0.71-1.65] mg/dL decrease","intron",0.21,"Up to 100,184 European descent individuals","rs7515577",272.11,"Hypercholesterolemia",3822,18595,0.90,0.001913,1,93009438,"EVI5","rs7515577","Silent",0.20830000,1.2320,"Cholesterol, total","Cholesterol, total || Multiple sclerosis",-0.623899,3,"endocrine/metabolic"
8,126490972,"rs2954029",272.11,24097068,"LDL cholesterol","TRIB1","TRIB1 - LINC00861",2E-50,.06,"[NR] unit decrease","Intergenic",0.47,"94,595 European ancestry individuals","rs2954029",272.11,"Hypercholesterolemia",3822,18595,0.90,0.00007905,8,126490972,"","rs2954029","",0.45150000,9.3650,"LDL cholesterol || Triglycerides || Cholesterol, total || HDL cholesterol",NULL,1.069111,3,"endocrine/metabolic"
2,21286057,"rs515135",272.11,20864672,"LDL cholesterol","APOB","APOB - KLHL29",2E-20,.04,"[0.03-0.05] unit decrease","Intergenic",0.19,"up to 17,243 white European descent individuals","rs515135",272.11,"Hypercholesterolemia",3822,18595,0.90,0.002545,2,21286057,"","rs515135","",0.18130000,2.6010,"LDL cholesterol",NULL,-0.293060,3,"endocrine/metabolic"
8,126490972,"rs2954029",272.11,20686565,"LDL cholesterol","TRIB1","TRIB1 - LINC00861",3E-29,1.84,"[1.51-2.17] mg/dL decrease","Intergenic",0.46,"Up to 95,454 European descent individuals","rs2954029",272.11,"Hypercholesterolemia",3822,18595,0.90,0.00007905,8,126490972,"","rs2954029","",0.45150000,9.3650,"LDL cholesterol || Triglycerides || Cholesterol, total || HDL cholesterol",NULL,1.069111,3,"endocrine/metabolic"
2,21286057,"rs515135",272.11,19060906,"LDL cholesterol","APOB","APOB - KLHL29",5E-29,.16,"[0.12-0.20] s.d. decrease","Intergenic",0.20,"19,840 individuals","rs515135",272.11,"Hypercholesterolemia",3822,18595,0.90,0.002545,2,21286057,"","rs515135","",0.18130000,2.6010,"LDL cholesterol",NULL,-0.293060,3,"endocrine/metabolic"
5,180170819,"rs12517906",278.1,19851299,"Weight","MGAT1","OR2Y1 - MGAT1",7E-8,2.96,"[NR] kg decrease","Intergenic",0.85,"Up to 3,925 European individuals","rs12517906",278.1,"Obesity",2553,24867,0.90,0.01259,5,180170819,"","rs12517906","",0.15260000,0.9190,"Weight (females) || Body mass index (females)",NULL,-0.716611,3,"endocrine/metabolic"
6,25823444,"rs1183201",274.1,19503597,"Uric acid levels","SLC17A1","SLC17A1",3E-14,.06,"[0.459-0.078] mg/dl decrease","intron",0.48,"12,328 European ancestry males, 15,813 European ancestry females","rs1183201",274.1,"Gout",1059,28012,0.90,0.01531,6,25823444,"SLC17A1","rs1183201","Silent",0.46290000,1.4190,"Uric acid levels","Urate levels || Serum uric acid levels || Urate levels (Urate) || Uric acid levels || Iron status biomarkers (transferrin saturation) || Iron levels (ferritin) || Iron status biomarkers (ferritin) || Red blood cell traits (MCH)",-0.573518,3,"endocrine/metabolic"
1,145725689,"rs12129861",274.1,19503597,"Uric acid levels","PDZK1","PDZK1",3E-9,.06,"[0.042-0.083] mg/dl decrease","nearGene-5",0.46,"12,328 European ancestry males, 15,813 European ancestry females","rs12129861",274.1,"Gout",1059,28012,0.91,0.02746,1,145725689,"","rs12129861","",0.47470000,1.2230,"Uric acid levels",NULL,-0.626344,3,"endocrine/metabolic"
17,42193185,"rs228769",743,19801982,"Bone mineral density (hip)","HDAC5","HDAC5",2E-8,.08,"[0.05-0.11] s.d. increase","intron",0.20,"19,195 European individuals","rs228769",743,"Osteoporosis, osteopenia and pathological fracture",4523,23036,0.92,0.008381,17,42193185,"HDAC5","rs228769","Silent,Silent",0.20960000,4.9340,"Bone mineral density (hip) || Bone mineral density (spine)","Bone mineral density (hip) || Bone mineral density (spine)",0.173575,14,"musculoskeletal"
1,72765116,"rs2568958",278.1,23563607,"Body mass index","NEGR1","GDI2P2 - RPL31P12",2E-14,1.16,"[NR]","Intergenic",0.6,"7,962 European ancestry individuals with high body mass index, 8,106 European ancestry individuals with low body mass index","rs2568958",278.1,"Obesity",2553,24867,0.92,0.005931,1,72765116,"","rs2568958","",0.37930000,0.3830,"Obesity (Overweight) || Body mass index || Weight",NULL,-0.927835,3,"endocrine/metabolic"
1,72812440,"rs2815752",278.1,20935630,"Body mass index","NEGR1","RPL31P12 - KRT8P21",2E-22,.13,"[0.09-0.17] kg/m2 increase","Intergenic",0.61,"Up to 123,865 European ancestry individuals","rs2815752",278.1,"Obesity",2553,24867,0.92,0.006126,1,72812440,"","rs2815752","",0.37920000,10.5100,"Body mass index",NULL,1.370748,3,"endocrine/metabolic"
1,72765116,"rs2568958",278.1,19079260,"Body mass index","NEGR1","GDI2P2 - RPL31P12",1E-11,3.77,"[2.67-4.87] % SD","Intergenic",0.58,"80,969 individuals","rs2568958",278.1,"Obesity",2553,24867,0.92,0.005931,1,72765116,"","rs2568958","",0.37930000,0.3830,"Obesity (Overweight) || Body mass index || Weight",NULL,-0.927835,3,"endocrine/metabolic"
2,634905,"rs6548238",278.1,19079261,"Body mass index","TMEM18","FAM150B - TMEM18",1E-18,.26,"[0.19-0.34] kg/m2 increase","Intergenic",0.84,"32,387 individuals","rs6548238",278.1,"Obesity",2553,24867,0.92,0.04604,2,634905,"","rs6548238","",0.16870000,2.8680,"Body mass index",NULL,-0.234616,3,"endocrine/metabolic"
1,72812440,"rs2815752",278.1,19079261,"Body mass index","NEGR1","RPL31P12 - KRT8P21",6E-8,.10,"[0.04-0.16] kg/m2 increase","Intergenic",0.62,"32,387 individuals","rs2815752",278.1,"Obesity",2553,24867,0.92,0.006126,1,72812440,"","rs2815752","",0.37920000,10.5100,"Body mass index",NULL,1.370748,3,"endocrine/metabolic"
1,72765116,"rs2568958",278.1,19079260,"Weight","NEGR1","GDI2P2 - RPL31P12",2E-8,3.37,"[2.19-4.55] % SD","Intergenic",0.58,"80,969 individuals","rs2568958",278.1,"Obesity",2553,24867,0.92,0.005931,1,72765116,"","rs2568958","",0.37930000,0.3830,"Obesity (Overweight) || Body mass index || Weight",NULL,-0.927835,3,"endocrine/metabolic"
12,26453283,"rs718314",278.1,20935629,"Waist-hip ratio","ITPR2, SSPN","SSPN - ITPR2",2E-17,.04,"[NR] unit increase","Intergenic",0.74,"Up to 77,167 European descent individuals","rs718314",278.1,"Obesity",2553,24867,0.93,0.03104,12,26453283,"","rs718314","",0.24260000,0.7020,"Renal cell carcinoma || Waist-hip ratio (women)",NULL,-0.790348,3,"endocrine/metabolic"
19,34322137,"rs11084753",278.1,19079261,"Body mass index","KCTD15","KCTD15 - RPS4XP20",2E-8,.06,"[-0.01-0.13] kg/m2 increase","Intergenic",0.67,"32,387 individuals","rs11084753",278.1,"Obesity",2553,24867,0.93,0.03358,19,34322137,"","rs11084753","",0.33080000,0.6450,"Body mass index",NULL,-0.811968,3,"endocrine/metabolic"
19,41310571,"rs3733829",318,20418890,"Smoking behavior","CYP2A6,EGLN2","EGLN2;RAB4B-EGLN2",1E-8,.33,"[0.22-0.44] CPD increase","intron;intron",0.36,"Up to 74,035 European ancestry individuals","rs3733829",318,"Tobacco use disorder",1809,25364,0.93,0.04465,19,41310571,"RAB4B-EGLN2,EGLN2","rs3733829","Silent,Silent,Silent",0.36250000,4.9490,"Smoking behavior (CPD)",NULL,0.176351,5,"mental disorders"
15,53946593,"rs491567",585,20383146,"Chronic kidney disease","WDR72","WDR72",3E-13,.01,"[0.005-0.013] ml/min/1.73 m2 increase","intron",0.22,"Up to 67,093 European ancestry individuals","rs491567",585,"Renal failure",4317,22257,0.93,0.01707,15,53946593,"WDR72","rs491567","Silent",0.22340000,5.4590,"Chronic kidney disease (eGFRcrea)","Chronic kidney disease (eGFRcrea) || Longevity (less than or equal to) || Hematological and biochemical traits (sCr) || Renal function-related traits (BUN) || Renal function-related traits (eGRFcrea) || Renal function-related traits (sCR)",0.269744,11,"genitourinary"
16,56993324,"rs3764261",272.11,24097068,"Cholesterol, total","CETP","HERPUD1 - CETP",4E-31,.05,"[NR] unit increase","Intergenic",0.32,"94,595 Euroepan ancestry individuals","rs3764261",272.11,"Hypercholesterolemia",3822,18595,0.94,0.04353,16,56993324,"","rs3764261","",0.32790000,0.9220,"HDL cholesterol || Waist circumference and related phenotypes (HDL cholesterol) || Cholesterol, total || Hematological and biochemical traits (HDL) || Metabolic syndrome (bivariate traits) (BP-HDLC) || Lipid metabolism phenotypes (HDL-C) || LDL cholesterol || Triglycerides || Metabolic syndrome (HDL) || Age-related macular degeneration || Lipoprotein-associated phospholipase A2 activity and mass (mass)",NULL,-0.715525,3,"endocrine/metabolic"
11,61569830,"rs174546",272.11,24097068,"Cholesterol, total","FADS1, FADS2, FADS3","FADS1",3E-37,.05,"[NR] unit decrease","UTR-3",0.36,"94,595 Euroepan ancestry individuals","rs174546",272.11,"Hypercholesterolemia",3822,18595,0.94,0.02838,11,61569830,"FADS1","rs174546","Silent",0.33690000,15.7300,"Cholesterol, total || HDL cholesterol || Metabolic syndrome (HDL) || LDL cholesterol || Triglycerides","Cholesterol, total || HDL cholesterol || LDL cholesterol || Metabolic syndrome (HDL) || Triglycerides || Comprehensive strength and appendicular lean mass (Males + Females) || Lipid metabolism phenotypes (LA/PUFA) || Metabolic traits (SM-3 + 152 other traits) || Metabolite levels (PC aa C36:3/PC aa C36:4) || Phospholipid levels (plasma) (ALA) || Phospholipid levels (plasma) (DPA) || Resting heart rate || Hematology traits (ALB/GLB) || Metabolite levels (PC) || Comprehensive strength and appendicular lean mass (Males) || Heart rate || Metabolite levels (Glycerolphosphocholine) || Fasting glucose-related traits (FPG) || Fasting glucose-related traits (HOMA-B) || Fasting glucose-related traits (interaction with BMI) || Phospholipid levels (plasma) (EPA)",2.919152,3,"endocrine/metabolic"
