snp_name	pheno	Chr	Trait	Sample Size	pval_rep	OR_rep	Gene_rep	maf_common	cmb_odds_ratio	cmn_p_val	rare_snps	rare_snps_mafs	rare_snps_pvals	rare_snps_ors	A_cmb
rs3130573	pheno_709.3	6	Systemic sclerosis	564 European ancestry cases, 1,776 European ancestry controls	6E-10	1.25	PSORS1C1	0.32	11.9975731101	0.000140508772378	exm529778,exm530092,exm530036	6.73015445704e-05,0.000100935334096,0.000672924867938	60.681372549,30.3419117647,6.96045038705	0.0244337266903,0.0403871168929,0.037021087324	[[24718, 41], [201, 4]]
rs2285803	pheno_204.4	6	Multiple myeloma	2,335 European ancestry cses, 7,306 European controls	1E-10	1.19	PSORS1C1, CCHCR1, CDSN, TCF19, POU5F1	0.32	1.79046729723	0.00114674469755	exm529739,exm529728	0.0218020321647,0.00664513307089	1.60077849533,2.31919789612	0.0356293044974,0.0143763213868	[[25488, 1471, 19], [313, 34, 0]]
rs805297	pheno_714.1	6	Rheumatoid arthritis	100 Korean ancestry cases, 600 Korean ancestry controls	3E-10	1.56	APOM	0.36	1.60453062481	3.74000364829e-05	exm531837	0.0253179463024	1.60453062481	6.57935772668e-05	[[23112, 1168, 16], [1039, 88, 0]]
rs9264942	pheno_555.1	6	Crohn's disease	Up to 12,924 European ancestry cases, up to 21,442 European ancestry controls	5E-28	1.15	HLA-C,PSORS1C1,NFKBIL1,MICB	0.378	1.48764164934	0.018677989569	exm-rs2524229	0.0244834084943	1.48764164934	0.0370725080168	[[20213, 1017, 11], [414, 30, 1]]
rs3096702	pheno_185	6	Prostate cancer	11,085 European ancestry cases, 11,463 European ancestry controls	5E-9	1.07	AGER, AGPAT1, ATF6B, BTNL2, C2, C4A, C4B, C6orf10, CFB,CYP21A1P, CYP21A2, DOM3Z, EGFL8, FKBPL, GPSM3,HCG23, HLA-DQA1, HLA-DQB1, HLA-DRA, HLA-DRB1, HLA-DRB5,HLA-DRB6, LOC10029, LOC100293534, LOC10050,LOC100507547, MIR1236, NOTCH4, PBX2, PPT2, PPT2-EGF,PPT2-EGFL8, PRRT1, RDBP, RNF5, RNF5P1, SKIV2L, STK19,TNXA, TNXB	0.4	2.78971153846	0.0276061671503	exm535177	0.000841127784133	2.78971153846	0.0427718695342	[[9671, 13], [1600, 6]]
rs10947262	pheno_740	6	Knee osteoarthritis	899 Japanese cases, 3,396 Japanese controls	5E-9	1.31	BTNL2, HLA-DQA2, HLA-DQB1	0.42	1.15353654947	0.00716160459269	exm-rs3763308	0.041032974428	1.15353654947	0.0148312566344	[[21623, 1771, 46], [3806, 369, 6]]
rs9491697	pheno_555.1	6	Crohn's disease	Up to 12,924 European ancestry cases, up to 21,442 European ancestry controls	4E-10	1.08	Intergenic	0.439	15.9834462002	0.00282108481508	exm576579	0.000302806002288	15.9834462002	0.0108320821111	[[21242, 6], [443, 2]]
rs3129882	pheno_709.3	6	Systemic sclerosis	2,296 European ancestry cases, 5,172 European ancestry controls	2E-27	2.17	HLA-DRA	0.44	30.3419117647	0.00665475640744	exm2121987	8.41127784133e-05	30.3419117647	0.0403871168929	[[24759, 4], [204, 1]]
rs404860	pheno_495	6	Asthma	1,532 Japanese ancestry cases, 3,304 Japanese ancestry controls	4E-23	1.21	NOTCH4	0.5	4.79477255592	0.000429471315499	exm535009,exm535000	0.000168259523489,0.000437577838365	5.89433838051,4.30269042123	0.0261058711769,0.0116461029185	[[23848, 23], [1730, 8]]
rs6927022	pheno_555.2	6	Ulcerative colitis	Up to 12,924 European ancestry cases, up to 21,442 European ancestry controls	5E-133	1.44	HLA-DQB1,HLA-DRB1,HLA-DQA1,HLA-DRA	0.535	0.356805944912	0.000706254722512	exm-rs28421666	0.02739495232	0.356805944912	0.00219118634775	[[20049, 1140, 24], [337, 7, 0]]
rs9272346	pheno_250.1	6	Type 1 diabetes	1,963 cases,2,938 controls	5E-134	5.49	MHC	0.61	0.751162877957	0.0085647655299	exm536044	0.0333017796289	0.751162877957	0.0202000265407	[[17697, 1213, 29], [1309, 66, 2]]
rs6457327	pheno_202.21	6	Follicular lymphoma	189 European ancestry cases, 592 European controls	5E-11	1.69	STG, PSORS1	0.62	0.180021777384	2.88748601077e-05	exm-rs3778630	0.0309028479095	0.180021777384	0.000113073200501	[[25315, 1614, 35], [257, 3, 0]]
rs477515	pheno_555	6	Inflammatory bowel disease	1,011 cases,4,250 controls	1E-8	1.38	HLA-DQA1	0.69	0.599962588851	0.00675051358104	exm-rs28421666	0.02739495232	0.599962588851	0.017320090974	[[20049, 1140, 24], [597, 21, 0]]
rs9277554	pheno_446.4	6	Wegener's granulomatosis	459 European ancestry cases, 1,503 European ancestry controls	2E-50	4.17	HLA-DPB1, HLA-DPB2, HSD17B8, RING1, COL11A2, RXRB, HLA-DOA, HLA-DPB1*04	0.708	0.162855839546	0.000214538146435	exm-rs9380343,exm537446,exm-rs2068204,exm537454,exm-rs6937034	0.0354041865787,0.0326200329733,0.0348105525271,0.0332436069987,0.0296759866761	0.113468824341,0.252323324333,0.116003759474,0.247894680738,0.135363525035	0.00408929937484,0.0271485158099,0.00390488059751,0.0272595133728,0.0117515638922	[[21715, 2268, 55], [117, 2, 0]]
rs429608	pheno_362.2	6	Age-related macular degeneration	2,978 European ancestry cases, 2,859 European ancestry controls	3E-21	2.16	C2,CFB	0.842	0.736068585426	0.00874501143248	exm-rs638383	0.0463981696444	0.736068585426	0.021849219526	[[24070, 2344, 67], [787, 59, 0]]
rs641153	pheno_362.2	6	Age-related macular degeneration (CNV)	1,775 European ancestry CNV cases, 4,134 European ancestry controls	1E-17	2.22	CFB	0.899	0.736068585426	0.00874501143248	exm-rs638383	0.0463981696444	0.736068585426	0.021849219526	[[24070, 2344, 67], [787, 59, 0]]
rs522162	pheno_362.2	6	Age-related macular degeneration	1,207 European ancestry cases, 686 European ancestry controls	2E-10	2.33	RDBP,CFB, ATF6B,STK19	0.93	0.736068585426	0.00874501143248	exm-rs638383	0.0463981696444	0.736068585426	0.021849219526	[[24070, 2344, 67], [787, 59, 0]]
rs9332739	pheno_362.2	6	Age-related macular degeneration (CNV)	1,775 European ancestry CNV cases, 4,134 European ancestry controls	2E-8	2.08	C2	0.955	0.736068585426	0.00874501143248	exm-rs638383	0.0463981696444	0.736068585426	0.021849219526	[[24070, 2344, 67], [787, 59, 0]]
rs541862	pheno_362.2	6	Age-related macular degeneration	893 European ancestry cases, 2,199 European ancestry controls	9E-17	1.89	CFB	0.99	0.736068585426	0.00874501143248	exm-rs638383	0.0463981696444	0.736068585426	0.021849219526	[[24070, 2344, 67], [787, 59, 0]]
rs6983561	pheno_185	8	Prostate cancer	1,033 Japanese ancestry cases, 1,042 Japanese ancestry controls, 1,043 Hispanic/Latin American ancestry cases, 1,057 Hispanic/Latin American ancestry controls	4E-13	1.87	NR	0.18	1.6969685119	7.83284367715e-10	exm-rs16901979	0.0359029577038	1.6969685119	1.54385626631e-09	[[8989, 683, 10], [1415, 189, 2]]
rs1537415	pheno_523.3	9	Periodontitis	283 German cases, 972 German controls	6E-9	1.59	GLT6D1	0.38	31.7998843262	0.000365619507552	exm796091	0.000370108677366	31.7998843262	0.00226191933207	[[27491, 19], [91, 2]]
rs10781499	pheno_555.2	9	Ulcerative colitis	6,687 European ancestry cases, 19,718 European ancestry controls	3E-19	1.12	CARD9, INPP5E, SDCCAG3, SEC16A, SNAPC4	0.41	61.7609329446	0.000285225023402	exm797379,exm797467	5.05936319482e-05,3.36530371866e-05	61.5930232558,61.5710144928	0.0317864056453,0.0317972365846	[[21184, 2], [343, 2]]
rs4077515	pheno_555.1	9	Crohn's disease	6,333 European ancestry cases, 15,056 European ancestry controls	1E-36	1.18	CARD9,SNAPC4	0.411	47.8194130926	0.000528576493241	exm797379,exm797467	5.05936319482e-05,3.36530371866e-05	47.7207207207,47.8423423423	0.040716775922,0.0406164456377	[[21184, 2], [443, 2]]
rs4979462	pheno_571.6	9	Primary biliary cirrhosis	487 Japanese ancestry cases, 476 Japanese ancestry controls	3E-14	1.56	TNFSF15	0.46	3.7701863354	0.00614567210656	exm775665	0.00293978509157	3.7701863354	0.0128380250527	[[23066, 133], [230, 5]]
rs505922	pheno_242.1	9	Graves' disease	1,442 Han Chinese ancestry cases, 1,468 Han Chinese ancestry controls	2E-10	1.14	ABO	0.53	0.551681545799	0.0138706665075	exm792695	0.0404791547495	0.551681545799	0.043802934142	[[21649, 1813, 37], [254, 12, 0]]
rs687621	pheno_452	9	Venous thromboembolism	1,618 European ancestry cases, 42,881 European ancestry controls	2E-52	1.55	ABO	0.65	0.761641495907	0.00453273299022	exm792695	0.0404791547495	0.761641495907	0.0104791029771	[[20797, 1781, 39], [1380, 89, 2]]
rs11787792	pheno_250.2	9	Type 2 diabetes	5,976 Japanese ancestry cases, 20,829 Japanese ancestry controls	2E-10	1.15	GPSM1	0.874	0.139397829385	0.00379678622698	exm797530	0.000656079671624	0.139397829385	0.0220145201717	[[21501, 33], [4674, 1]]
